# Catalog for all galaxies that matched between 3DHST and FIGS within 1.2<z<1.8 for gs1. 
# figs_id redshift ra dec dn4000 dn4000_err d4000 d4000_err
1214 1.604 53.115864 -27.771158 -0.1760 20.5766 -1.2998 21.2334
1222 1.385 53.141292 -27.771393 1.1792 0.0000 1.3925 0.0000
1241 1.656 53.190716 -27.771576 4.4521 46.3876 3.9704 31.7819
1246 1.715 53.177654 -27.771665 13.8872 707.9154 3.1385 40.4550
1256 1.652 53.117840 -27.771892 -6.1190 476.0851 25.8023 5980.9351
1261 1.495 53.156883 -27.771896 2.1445 36.5429 2.5813 129.7843
1267 1.216 53.166088 -27.771967 5.3778 93.0364 9.1074 146.1487
1275 1.611 53.115032 -27.772131 0.9541 0.2690 1.0722 0.2706
1287 1.488 53.178909 -27.772314 1.8660 10.0346 0.8358 4.2639
1292 1.316 53.127064 -27.772487 1.2897 9.9163 1.4229 9.3696
1297 1.642 53.126415 -27.772476 1.0781 1.5015 1.1480 1.1514
1309 1.223 53.179298 -27.772552 1.0667 10.2948 1.3587 10.0715
1310 1.307 53.124164 -27.772606 1.4806 9.2715 2.1464 10.7423
1312 1.266 53.170784 -27.772611 1.6022 43.9454 0.2571 3.8565
1319 1.376 53.174274 -27.772766 2.3237 38.1845 0.6433 4.2024
1328 1.620 53.148388 -27.772859 -4.9190 269.5539 3.5525 303.0740
1342 1.577 53.115921 -27.773046 0.2880 2.1753 1.0389 3.8214
1347 1.332 53.176006 -27.773153 -0.6548 4.9709 1.0042 13.4269
1361 1.723 53.198753 -27.773395 1.3767 0.0000 1.0571 0.0000
1366 1.288 53.176048 -27.773702 1.4296 2.5670 1.3142 1.5194
1375 1.414 53.144172 -27.773548 -7.8147 402.0490 1.2477 48.0753
1376 1.718 53.204727 -27.773491 1.1054 16.9106 0.3555 11.6351
1379 1.644 53.123394 -27.773619 1.4018 17.5681 2.2726 31.0210
1385 1.366 53.154747 -27.773865 0.4167 14.5861 -0.2155 5.2561
1388 1.232 53.172752 -27.773800 -0.7184 25.7950 2.9055 47.4357
1392 1.259 53.167995 -27.773857 1.0668 0.5556 1.3191 0.6263
1396 1.243 53.157997 -27.773924 2.3740 91.9670 -4.0569 146.7406
1404 1.761 53.182098 -27.773962 0.2883 0.0000 0.1754 0.0000
1447 1.216 53.159351 -27.775024 0.9936 9.6380 2.1226 19.8749
1454 1.710 53.210930 -27.774490 2.7938 21.5592 1.6282 7.1121
1455 1.597 53.169010 -27.774589 0.6470 2.6872 0.7582 3.6801
1457 1.203 53.155857 -27.774645 1.2631 10.1745 3.2515 20.6088
1462 1.243 53.122272 -27.774765 0.2703 6.9986 0.8493 11.8543
1467 1.382 53.139229 -27.774843 0.9388 1.5735 1.0490 1.1220
1480 1.494 53.181862 -27.774956 0.5022 5.6169 0.5397 5.8174
1484 1.404 53.150413 -27.775036 -0.0000 0.0000 -0.0000 0.0000
1490 1.553 53.157100 -27.775129 -4.5319 414.8983 -0.1690 3.1540
1493 1.796 53.166561 -27.775247 0.6340 6.8284 0.1769 2.4566
1505 1.266 53.190342 -27.775335 1.7048 5.1722 1.3303 2.2861
1510 1.458 53.204624 -27.775390 2.6500 31.7317 4.7338 60.2658
1516 1.220 53.193092 -27.775562 1.0278 0.5358 1.9275 0.9951
1524 1.453 53.183632 -27.775535 0.6745 1.5427 0.6109 1.8113
