#   PearsID  Field  RA  DEC  zspec  zp_minchi2  zspz_minchi2  zg_minchi2  zp  zspz  zg  zp_zerr_low  zp_zerr_up  zspz_zerr_low  zspz_zerr_up  zg_zerr_low  zg_zerr_up  zp_min_chi2  zspz_min_chi2  zg_min_chi2  zp_bestalpha  zspz_bestalpha  zg_bestalpha  zp_model_idx  zspz_model_idx  zg_model_idx  zp_age  zp_tau  zp_av  zspz_age  zspz_tau  zspz_av  zg_age  zg_tau  zg_av  zp_template_ms  zp_ms  zp_sfr  zp_uv  zp_vj  zspz_template_ms  zspz_ms  zspz_sfr  zspz_uv  zspz_vj  zg_template_ms  zg_ms  zg_sfr  zg_uv  zg_vj
37538 GOODS-N 189.2584873 62.189703 0.1360 0.09 -99.00 -99.00 nan -99.00 -99.00 0.09 0.09 -99.00 -99.00 -99.00 -99.00 4237.74 -99.00 -99.00 6.730e+10 -9.900e+01 -9.900e+01 35260 -99 -99 9.480e+00 6.310e+01 2.39 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0261 1.760e+09 0.000e+00 0.4919 1.7823 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
19435 GOODS-S 53.1429841 -27.909361 -99.0000 0.61 -99.00 -99.00 0.61 -99.00 -99.00 0.56 0.65 -99.00 -99.00 -99.00 -99.00 2.69 -99.00 -99.00 1.810e+09 -9.900e+01 -9.900e+01 14457 -99 -99 9.060e+00 1.000e+00 0.92 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.4212 7.627e+08 0.000e+00 0.2067 1.3765 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
125478 GOODS-S 53.1006969 -27.703050 -99.0000 1.47 -99.00 -99.00 nan -99.00 -99.00 1.47 1.47 -99.00 -99.00 -99.00 -99.00 21655.80 -99.00 -99.00 1.740e+11 -9.900e+01 -9.900e+01 435 -99 -99 9.060e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5354 9.307e+10 0.000e+00 0.3401 0.9801 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
132104 GOODS-S 53.0610491 -27.688081 0.8180 0.80 -99.00 -99.00 0.80 -99.00 -99.00 0.79 0.84 -99.00 -99.00 -99.00 -99.00 3.43 -99.00 -99.00 1.050e+10 -9.900e+01 -9.900e+01 2170 -99 -99 9.400e+00 1.000e+00 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5048 5.281e+09 0.000e+00 0.3783 1.5648 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
62511 GOODS-N 189.2307947 62.224962 -99.0000 1.13 -99.00 -99.00 1.17 -99.00 -99.00 1.03 1.22 -99.00 -99.00 -99.00 -99.00 0.54 -99.00 -99.00 4.430e+09 -9.900e+01 -9.900e+01 7330 -99 -99 9.280e+00 2.510e+00 0.37 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.3122 1.383e+09 0.000e+00 0.1256 1.3771 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
21800 GOODS-S 53.1785261 -27.904294 -99.0000 2.18 -99.00 -99.00 2.00 -99.00 -99.00 2.10 2.23 -99.00 -99.00 -99.00 -99.00 2.24 -99.00 -99.00 4.720e+09 -9.900e+01 -9.900e+01 1530 -99 -99 8.460e+00 1.000e-01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6421 3.029e+09 0.000e+00 -0.1646 1.0144 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
107198 GOODS-N 189.3328847 62.305186 -99.0000 1.07 -99.00 -99.00 1.00 -99.00 -99.00 0.99 1.35 -99.00 -99.00 -99.00 -99.00 0.39 -99.00 -99.00 1.210e+09 -9.900e+01 -9.900e+01 2034 -99 -99 9.060e+00 6.310e-01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5124 6.190e+08 0.000e+00 0.0878 1.2415 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
14663 GOODS-S 53.1939544 -27.918887 1.0890 1.09 -99.00 -99.00 1.05 -99.00 -99.00 0.97 1.11 -99.00 -99.00 -99.00 -99.00 18.24 -99.00 -99.00 2.870e+10 -9.900e+01 -9.900e+01 2301 -99 -99 9.630e+00 1.580e+00 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.4768 1.370e+10 0.000e+00 0.5229 1.7358 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
42425 GOODS-S 53.1528991 -27.862688 -99.0000 0.66 -99.00 -99.00 1.04 -99.00 -99.00 0.54 0.75 -99.00 -99.00 -99.00 -99.00 0.79 -99.00 -99.00 1.210e+08 -9.900e+01 -9.900e+01 424 -99 -99 8.510e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6188 7.484e+07 0.000e+00 0.0363 0.6453 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
120241 GOODS-N 189.4315442 62.328553 -99.0000 0.82 -99.00 -99.00 1.23 -99.00 -99.00 0.66 0.95 -99.00 -99.00 -99.00 -99.00 0.48 -99.00 -99.00 9.130e+08 -9.900e+01 -9.900e+01 4494 -99 -99 9.060e+00 6.310e-01 0.18 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5124 4.676e+08 0.000e+00 0.1393 1.2788 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
