#PearsID, Field, RA, DEC, zspec, zp_minchi2, zspz_minchi2, zg_minchi2, zp, zspz, zg, zp_zerr_low, zp_zerr_up, zspz_zerr_low, zspz_zerr_up, zg_zerr_low, zg_zerr_up, zp_min_chi2, zspz_min_chi2, zg_min_chi2, zp_bestalpha, zspz_bestalpha, zg_bestalpha, zp_model_idx, zspz_model_idx, zg_model_idx, zp_age, zp_tau, zp_av, zspz_age, zspz_tau, zspz_av, zg_age, zg_tau, zg_av, zp_template_ms, zp_ms, zp_sfr, zp_uv, zp_vj, zspz_template_ms, zspz_ms, zspz_sfr, zspz_uv, zspz_vj, zg_template_ms, zg_ms, zg_sfr, zg_uv, zg_vj
98209, 'GOODS-N', 189.3194843, 62.292583, 1.146, 4.25, -99., -99., nan, -99., -99., 4.25, 4.25, -99., -99., -99., -99., 4512.6, -99., -99., 1.42e+12, -99., -99., 789, -99, -99, 8.31, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.5851, 8.316e+11, 0., 0.1256, 2.0239, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
77558, 'GOODS-S', 53.1869386, -27.790992, 0.437, 0.42, -99., -99., nan, -99., -99., 0.38, 0.42, -99., -99., -99., -99., 52318.79, -99., -99., 3.39e+11, -99., -99., 12405, -99, -99, 9.94, 3.98, 0.74, -99., -99., -99., -99., -99., -99., 0.4148, 1.406e+11, 0., 0.7338, 1.9452, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
104219, 'GOODS-N', 189.427419, 62.300174, -99., 2.23, -99., -99., 2.1, -99., -99., 1.86, 2.29, -99., -99., -99., -99., 10.12, -99., -99., 8.97e+11, -99., -99., 35136, -99, -99, 9.44, 39.8, 2.39, -99., -99., -99., -99., -99., -99., 0.038, 3.408e+10, 0., 0.4792, 1.7654, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
112448, 'GOODS-S', 53.1554831, -27.72619, 0.66, 0.66, -99., -99., 0.65, -99., -99., 0.66, 0.67, -99., -99., -99., -99., 21.53, -99., -99., 9.39e+10, -99., -99., 9567, -99, -99, 9.81, 1., 0.55, -99., -99., -99., -99., -99., -99., 0.4604, 4.321e+10, 0., 1.3318, 2.1522, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
107736, 'GOODS-S', 53.0837922, -27.739571, 1.21, 1.22, -99., -99., 1.23, -99., -99., 1.21, 1.23, -99., -99., -99., -99., 58.25, -99., -99., 2.42e+11, -99., -99., 29362, -99, -99, 9.65, 1.58, 2.03, -99., -99., -99., -99., -99., -99., 0.4768, 1.156e+11, 0., 0.947, 2.1075, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
73065, 'GOODS-S', 53.193292, -27.805572, -99., 0.72, -99., -99., nan, -99., -99., 0.72, 0.72, -99., -99., -99., -99., 5428.89, -99., -99., 8.91e+10, -99., -99., 467, -99, -99, 9.85, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.4064, 3.621e+10, 0., 0.6212, 1.3502, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
54158, 'GOODS-N', 189.167582, 62.211958, -99., 1.17, -99., -99., nan, -99., -99., 1.17, 1.17, -99., -99., -99., -99., 10590.12, -99., -99., 1.24e+11, -99., -99., 435, -99, -99, 9.06, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.5354, 6.642e+10, 0., 0.3401, 0.9801, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
110504, 'GOODS-S', 53.1581325, -27.734502, -99., 1.11, -99., -99., 1.06, -99., -99., 1.03, 1.13, -99., -99., -99., -99., 7.27, -99., -99., 7.81e+10, -99., -99., 9438, -99, -99, 9.7, 0.631, 0.55, -99., -99., -99., -99., -99., -99., 0.477, 3.727e+10, 0., 1.329, 2.1377, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
56798, 'GOODS-N', 189.1671209, 62.218223, -99., 0.49, -99., -99., 0.49, -99., -99., 0.49, 0.49, -99., -99., -99., -99., 42.65, -99., -99., 7.77e+10, -99., -99., 13611, -99, -99, 9.44, 0.0398, 0.92, -99., -99., -99., -99., -99., -99., 0.5066, 3.936e+10, 0., 1.2534, 2.1082, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
106158, 'GOODS-S', 53.1132674, -27.737906, 0.418, 0.4, -99., -99., 0.4, -99., -99., 0.4, 0.4, -99., -99., -99., -99., 427.73, -99., -99., 1.44e+11, -99., -99., 19275, -99, -99, 9.63, 0.631, 1.29, -99., -99., -99., -99., -99., -99., 0.4906, 7.077e+10, 0., 1.3337, 2.2119, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
