# lam flam flam_err
3000.00 nan nan
3025.00 nan nan
3050.00 nan nan
3075.00 0.978213 0.124484
3100.00 1.035384 0.189578
3125.00 0.993935 0.131185
3150.00 1.013689 0.145681
3175.00 0.972329 0.079777
3200.00 1.025028 0.090294
3225.00 0.994002 0.094106
3250.00 1.018545 0.058722
3275.00 1.032841 0.057504
3300.00 1.005907 0.053943
3325.00 1.002678 0.057203
3350.00 1.008740 0.052270
3375.00 1.004207 0.044175
3400.00 0.991317 0.040514
3425.00 0.979502 0.043885
3450.00 1.008503 0.041996
3475.00 0.992209 0.036633
3500.00 0.998591 0.033225
3525.00 0.998255 0.033004
3550.00 0.989728 0.034742
3575.00 0.984365 0.034144
3600.00 0.970228 0.031242
3625.00 0.987754 0.028495
3650.00 0.983250 0.024769
3675.00 0.985895 0.021157
3700.00 1.002458 0.023483
3725.00 1.000847 0.028406
3750.00 0.985388 0.036876
3775.00 0.981243 0.029057
3800.00 0.985076 0.024551
3825.00 1.001663 0.034822
3850.00 0.989791 0.019710
3875.00 0.981568 0.019529
3900.00 0.985517 0.022209
3925.00 0.991169 0.019333
3950.00 0.980905 0.016404
3975.00 0.994079 0.033488
4000.00 1.004732 0.013427
4025.00 1.000947 2.839364
4050.00 0.999702 2.135541
4075.00 1.002828 0.014083
4100.00 0.996916 0.013334
4125.00 0.997171 0.013708
4150.00 0.993722 0.011957
4175.00 0.992101 0.011796
4200.00 0.995951 0.012053
4225.00 1.000396 0.011187
4250.00 0.997273 0.012061
4275.00 0.993433 0.010642
4300.00 0.987879 0.010509
4325.00 0.984731 0.010342
4350.00 0.990591 0.010330
4375.00 0.991620 0.011474
4400.00 0.991876 0.011051
4425.00 0.992432 0.010433
4450.00 0.992139 0.010254
4475.00 0.993943 0.010974
4500.00 0.996699 0.011128
4525.00 0.994398 0.010504
4550.00 0.998523 0.011871
4575.00 1.000506 0.011274
4600.00 0.998142 0.011630
4625.00 1.000713 0.010878
4650.00 1.000539 0.010838
4675.00 0.999451 0.010931
4700.00 0.996911 0.012088
4725.00 0.995227 0.013719
4750.00 1.001683 0.011728
4775.00 1.001003 0.012958
4800.00 0.993368 0.015310
4825.00 0.989929 0.016912
4850.00 0.994453 0.013495
4875.00 0.991619 0.013258
4900.00 0.982554 0.014177
4925.00 0.984039 0.014169
4950.00 0.980759 0.011955
4975.00 0.982353 0.012034
5000.00 0.986715 0.011781
5025.00 0.984174 0.011171
5050.00 0.984543 0.011369
5075.00 0.981652 0.012208
5100.00 0.979913 0.017008
5125.00 0.981401 0.297568
5150.00 0.979233 0.284240
5175.00 0.979545 0.012852
5200.00 0.985294 0.013172
5225.00 0.984323 0.016291
5250.00 0.982971 0.011441
5275.00 0.980485 0.011654
5300.00 0.983208 0.013519
5325.00 0.986712 0.012785
5350.00 0.987635 0.011771
5375.00 0.984895 0.011793
5400.00 0.989886 0.012348
5425.00 0.992999 0.011593
5450.00 0.984923 0.011742
5475.00 0.988098 0.011825
5500.00 0.987762 0.012122
5525.00 0.989392 0.012465
5550.00 0.986528 0.013313
5575.00 0.990463 0.013372
5600.00 0.991813 0.020308
5625.00 0.992446 0.014587
5650.00 0.995824 0.013900
5675.00 0.992704 0.018322
5700.00 0.991515 0.015561
5725.00 0.996477 0.015916
5750.00 0.993231 0.015468
5775.00 0.987167 0.020257
5800.00 0.989895 0.020115
5825.00 0.995054 0.018327
5850.00 0.994170 0.017345
5875.00 0.993018 0.018318
5900.00 0.990820 0.015030
5925.00 0.992926 0.015350
5950.00 0.988130 0.015070
5975.00 0.988660 0.017760
6000.00 0.985188 0.017113
6025.00 0.988521 0.015018
6050.00 0.986996 0.014626
6075.00 0.985083 0.014625
6100.00 0.980471 0.021837
6125.00 0.978007 0.015030
6150.00 0.983264 0.016311
6175.00 0.985579 0.014554
6200.00 0.985622 0.020138
6225.00 0.985644 0.024652
6250.00 0.983909 0.024439
6275.00 0.991735 0.023917
6300.00 0.979744 0.030689
6325.00 0.975114 0.102156
6350.00 0.986785 0.020981
6375.00 0.977982 0.023616
6400.00 0.975485 0.021925
6425.00 0.979688 0.022488
6450.00 0.980012 0.021620
6475.00 0.982376 0.024175
6500.00 0.979620 0.021260
6525.00 0.982449 0.025101
6550.00 0.976892 0.030959
6575.00 0.980396 0.016788
6600.00 0.981790 0.018213
6625.00 0.974563 0.016872
6650.00 0.969872 0.016270
6675.00 0.976839 0.020657
6700.00 0.972851 0.018667
6725.00 0.978344 0.017622
6750.00 0.978085 0.017796
6775.00 0.986568 0.017145
6800.00 0.988757 0.019391
6825.00 0.991803 0.020795
6850.00 0.991134 0.025591
6875.00 0.993370 0.026387
6900.00 1.000852 0.023910
6925.00 0.999757 0.024755
6950.00 0.995237 0.022530
6975.00 0.997829 0.031486
7000.00 1.004508 0.023717
7025.00 1.002749 0.025459
7050.00 0.997222 0.026189
7075.00 0.990116 0.029403
7100.00 0.992949 0.045150
7125.00 1.005050 0.026860
7150.00 1.002287 0.028170
7175.00 0.995531 0.036384
7200.00 1.002373 0.038768
7225.00 0.989738 0.048799
7250.00 0.991136 0.034548
7275.00 0.983048 0.038725
7300.00 0.994797 0.039864
7325.00 0.990897 0.049543
7350.00 1.039233 0.123204
7375.00 0.960859 0.047259
7400.00 0.995313 0.124711
7425.00 0.940047 0.126432
7450.00 nan nan
7475.00 nan nan
7500.00 nan nan
7525.00 nan nan
7550.00 nan nan
7575.00 nan nan
