# The PEARS id is given here as only an integer.
# The user must figure out if it is part of northern or southern fields.
# pearsid field urcol mstar threedid threedzphot
52591 GOODS-N 0.57 7.83 13144 0.84
52497 GOODS-N 0.86 8.82 13296 0.83
53198 GOODS-N 0.84 8.78 13409 1.22
52869 GOODS-N 0.88 9.37 13411 0.77
53566 GOODS-N 1.13 8.80 13563 0.89
52948 GOODS-N 1.13 8.85 13564 0.66
53403 GOODS-N 1.06 9.17 13608 1.04
52896 GOODS-N 1.26 9.76 13640 0.94
53921 GOODS-N 1.26 8.60 13697 0.56
53471 GOODS-N 2.23 10.78 13774 0.83
54384 GOODS-N 1.01 8.39 13864 0.83
54697 GOODS-N 0.64 8.41 13919 1.26
53708 GOODS-N 2.28 10.75 13977 0.69
54220 GOODS-N 1.17 9.66 14039 1.25
54327 GOODS-N 0.95 9.36 14076 0.92
54815 GOODS-N 0.76 8.67 14084 0.79
54986 GOODS-N 0.72 7.70 14118 0.59
54689 GOODS-N 1.09 8.16 14136 0.64
53563 GOODS-N 1.86 10.38 14158 0.87
54405 GOODS-N 1.65 10.51 14184 0.82
55063 GOODS-N 0.74 8.56 14234 1.07
55513 GOODS-N 1.52 9.27 14576 0.66
55392 GOODS-N 1.48 10.33 14597 1.16
56190 GOODS-N 1.01 8.79 14821 0.65
56832 GOODS-N 1.00 8.86 14888 0.91
57038 GOODS-N 0.61 7.87 14924 0.83
57178 GOODS-N 0.67 8.08 14930 0.89
58124 GOODS-N 0.86 9.08 15328 1.17
58595 GOODS-N 1.01 8.51 15386 0.90
58831 GOODS-N 0.94 7.93 15476 0.56
58137 GOODS-N 0.89 9.00 15477 0.98
58650 GOODS-N 0.83 8.88 15618 0.94
59713 GOODS-N 1.09 8.18 15682 0.58
59121 GOODS-N 0.86 8.91 15702 0.91
59472 GOODS-N 1.06 8.27 15716 0.67
59445 GOODS-N 1.12 9.01 15726 1.02
59873 GOODS-N 1.15 8.81 15764 1.07
60049 GOODS-N 0.61 8.04 15791 0.76
