# The PEARS id is given here as only an integer.
# The user must figure out if it is part of northern or southern fields.
# pearsid field urcol mstar threedid threedzphot
113746 GOODS-N 1.22 9.10 33911 0.74
116236 GOODS-N 0.86 9.44 34390 1.26
114628 GOODS-N 1.96 10.85 34410 0.82
116527 GOODS-N 0.81 8.88 34415 0.84
116889 GOODS-N 0.99 7.98 34536 0.58
117715 GOODS-N 1.18 9.26 34667 0.99
117825 GOODS-N 1.17 9.60 34734 0.63
117847 GOODS-N 0.95 9.15 34741 0.88
118148 GOODS-N 0.97 9.45 34769 0.91
118319 GOODS-N 1.25 9.07 34815 1.15
118394 GOODS-N 1.01 8.71 34839 0.88
118335 GOODS-N 0.97 9.00 34848 1.23
118534 GOODS-N 0.46 8.58 34875 0.99
119191 GOODS-N 2.01 10.65 35099 1.02
118864 GOODS-N 0.89 8.94 35158 1.21
119684 GOODS-N 0.92 9.08 35248 1.06
119723 GOODS-N 1.01 9.45 35252 0.80
119616 GOODS-N 1.06 9.34 35281 1.03
119879 GOODS-N 2.34 11.11 35299 1.05
119672 GOODS-N 0.92 7.83 35402 0.59
120498 GOODS-N 2.21 10.59 35493 1.18
120572 GOODS-N 0.91 9.03 35497 0.90
120691 GOODS-N 1.56 9.53 35543 1.17
120750 GOODS-N 0.58 8.36 35598 1.17
120710 GOODS-N 0.75 8.29 35609 0.89
121093 GOODS-N 1.32 9.29 35702 0.78
121143 GOODS-N 1.71 9.28 35707 0.60
121225 GOODS-N 0.80 8.66 35719 1.13
121635 GOODS-N 1.20 8.16 35825 0.64
121232 GOODS-N 1.18 9.39 35834 0.84
121718 GOODS-N 0.98 9.07 35902 0.93
121917 GOODS-N 1.02 8.29 35923 0.66
121834 GOODS-N 0.88 8.92 35941 0.96
121428 GOODS-N 0.58 9.07 35974 0.64
122303 GOODS-N 0.71 8.52 36057 1.00
122475 GOODS-N 0.82 8.15 36069 0.69
122616 GOODS-N 1.19 9.99 36104 1.16
122560 GOODS-N 0.87 10.06 36108 1.05
122257 GOODS-N 0.82 9.03 36125 1.11
122757 GOODS-N 0.92 9.24 36179 0.78
122855 GOODS-N 0.58 9.21 36180 1.06
122827 GOODS-N 0.44 8.82 36193 1.18
123008 GOODS-N 1.05 9.01 36229 1.01
123054 GOODS-N 0.91 8.46 36275 0.93
123269 GOODS-N 1.05 8.80 36281 1.12
123162 GOODS-N 0.85 9.41 36289 1.15
123296 GOODS-N 1.04 8.74 36306 0.90
123290 GOODS-N 1.83 10.58 36323 1.15
123504 GOODS-N 1.09 9.00 36378 0.88
123809 GOODS-N 2.07 10.35 36408 1.01
123850 GOODS-N 2.39 10.24 36454 0.99
123538 GOODS-N 2.23 11.05 36567 0.94
124177 GOODS-N 0.94 8.83 36572 0.82
123476 GOODS-N 1.47 10.31 36573 0.64
124893 GOODS-N 0.97 8.46 36665 0.81
123811 GOODS-N 1.32 9.83 36666 0.63
124678 GOODS-N 1.10 9.29 36711 1.16
125098 GOODS-N 1.58 10.54 36722 1.27
125086 GOODS-N 2.14 10.92 36751 1.14
125212 GOODS-N 1.04 8.26 36754 0.78
125446 GOODS-N 0.54 8.95 36830 1.24
124386 GOODS-N 2.29 10.54 36854 0.82
125809 GOODS-N 0.85 8.66 36909 1.09
125934 GOODS-N 1.93 10.50 36989 1.14
126288 GOODS-N 1.01 8.96 36991 1.26
125948 GOODS-N 1.02 9.46 37005 0.94
9382 GOODS-S 1.36 9.88 934 0.98
9343 GOODS-S 1.49 9.39 971 0.64
10429 GOODS-S 1.03 8.55 985 0.74
10469 GOODS-S 0.90 8.70 998 0.59
10465 GOODS-S 0.85 8.77 1002 0.96
10593 GOODS-S 0.55 8.23 1017 0.86
11099 GOODS-S 1.41 8.13 1066 0.74
12062 GOODS-S 1.22 10.01 1186 1.04
12230 GOODS-S 0.21 8.37 1200 1.18
9378 GOODS-S 2.29 10.62 1213 0.69
12350 GOODS-S 0.82 8.29 1221 0.82
11507 GOODS-S 1.06 9.32 1226 0.69
12457 GOODS-S 0.80 8.61 1273 0.68
13011 GOODS-S 0.48 7.98 1288 0.62
12949 GOODS-S 1.47 8.75 1309 0.62
12926 GOODS-S 0.44 7.69 1311 0.70
13283 GOODS-S 1.87 9.46 1368 0.80
13988 GOODS-S 0.42 8.67 1436 1.20
13732 GOODS-S 1.17 8.20 1439 0.69
14093 GOODS-S 1.13 9.03 1452 0.80
14405 GOODS-S 1.55 9.52 1485 1.09
13986 GOODS-S 1.78 9.40 1516 0.61
13856 GOODS-S 1.06 9.82 1519 0.95
14215 GOODS-S 1.58 10.42 1522 0.85
13499 GOODS-S 1.64 10.66 1565 1.01
15172 GOODS-S 0.77 8.68 1607 1.31
14555 GOODS-S 2.27 10.72 1619 0.63
15281 GOODS-S 1.02 8.84 1621 0.97
15336 GOODS-S 0.84 8.46 1642 0.88
15324 GOODS-S 1.42 9.22 1644 1.06
15513 GOODS-S 0.80 8.50 1677 0.94
15093 GOODS-S 0.91 9.29 1681 1.20
14990 GOODS-S 0.97 8.71 1693 1.06
15793 GOODS-S 0.71 8.64 1734 1.23
16039 GOODS-S 0.74 8.76 1763 1.06
15921 GOODS-S 1.48 9.28 1770 0.91
15929 GOODS-S 0.67 7.85 1788 0.64
16179 GOODS-S 1.13 9.26 1802 1.09
16183 GOODS-S 0.58 8.34 1808 1.05
16371 GOODS-S 0.98 9.16 1835 1.18
16488 GOODS-S 0.78 7.85 1881 0.67
16683 GOODS-S 1.16 8.21 1902 0.68
16788 GOODS-S 0.65 7.90 1913 0.62
17024 GOODS-S 0.97 9.24 1982 0.65
17055 GOODS-S 0.92 8.37 1987 0.95
17022 GOODS-S 2.30 10.50 1989 0.73
16290 GOODS-S 1.84 9.71 1992 0.72
17163 GOODS-S 1.04 9.06 1997 0.91
17321 GOODS-S 0.42 8.34 2030 0.78
17264 GOODS-S 1.23 8.52 2031 0.68
17368 GOODS-S 1.20 8.55 2035 0.94
17413 GOODS-S 0.64 8.61 2039 1.19
17468 GOODS-S 0.86 8.24 2052 0.67
17704 GOODS-S 1.60 9.51 2095 0.73
17701 GOODS-S 0.90 9.88 2097 1.30
17587 GOODS-S 0.69 8.23 2102 0.74
17667 GOODS-S 0.79 8.46 2113 1.24
17795 GOODS-S 0.92 8.96 2115 1.30
17719 GOODS-S 0.65 9.30 2116 1.27
17669 GOODS-S 0.65 8.49 2126 1.17
17494 GOODS-S 0.53 8.80 2128 1.14
18065 GOODS-S 0.81 8.59 2152 1.20
17950 GOODS-S 0.35 7.39 2171 1.22
18170 GOODS-S 1.21 9.32 2177 1.27
18240 GOODS-S 1.71 9.85 2191 1.30
17999 GOODS-S 0.84 9.11 2270 1.23
18610 GOODS-S 0.57 8.30 2271 0.92
18213 GOODS-S 0.63 8.51 2295 0.94
18882 GOODS-S 0.85 8.62 2322 0.66
18972 GOODS-S 1.61 9.68 2334 0.92
19003 GOODS-S 1.08 8.14 2338 0.68
19016 GOODS-S 0.86 9.60 2345 1.29
18337 GOODS-S 0.42 9.54 2346 1.09
18484 GOODS-S 0.77 8.62 2406 0.94
19435 GOODS-S 1.14 9.00 2426 0.68
19473 GOODS-S 1.36 8.38 2428 0.76
19585 GOODS-S 1.14 9.00 2451 0.68
19569 GOODS-S 0.92 8.25 2462 0.85
19652 GOODS-S 0.95 8.79 2496 0.76
19591 GOODS-S 0.96 8.46 2507 0.85
19733 GOODS-S 0.87 8.48 2529 0.89
18260 GOODS-S 2.20 11.19 2546 0.66
19683 GOODS-S 1.07 9.14 2569 1.03
19952 GOODS-S 1.13 8.20 2578 0.71
20714 GOODS-S 0.88 8.34 2604 0.67
20072 GOODS-S 0.75 9.18 2650 1.14
20265 GOODS-S 0.81 8.53 2670 1.08
20387 GOODS-S 0.80 8.36 2672 1.10
20694 GOODS-S 0.60 8.46 2732 1.23
20877 GOODS-S 0.69 8.86 2768 1.06
20681 GOODS-S 1.01 8.98 2805 0.91
21023 GOODS-S 0.83 8.58 2810 1.10
20901 GOODS-S 1.24 9.53 2856 1.15
21363 GOODS-S 0.83 8.99 2919 0.69
21330 GOODS-S 1.17 9.19 2953 0.60
21592 GOODS-S 2.31 10.61 2977 0.68
21612 GOODS-S 1.16 9.37 2980 0.73
21777 GOODS-S 0.96 9.06 2989 0.68
21605 GOODS-S 0.55 9.25 3014 1.16
21891 GOODS-S 1.82 8.89 3016 0.68
21730 GOODS-S 1.06 9.34 3026 0.83
21647 GOODS-S 1.01 9.09 3047 0.78
21754 GOODS-S 0.75 8.46 3062 0.57
21819 GOODS-S 0.77 8.44 3074 1.18
22051 GOODS-S 1.99 8.83 3118 0.64
22233 GOODS-S 0.57 8.19 3141 0.69
22252 GOODS-S 0.73 8.95 3142 1.28
22308 GOODS-S 0.86 8.71 3160 1.27
22266 GOODS-S 0.76 8.48 3164 0.94
22153 GOODS-S 0.52 8.62 3175 0.91
22708 GOODS-S 1.73 10.11 3188 0.69
22217 GOODS-S 0.97 9.07 3194 1.09
22513 GOODS-S 1.15 8.66 3208 1.03
22316 GOODS-S 0.71 8.82 3213 1.20
22514 GOODS-S 0.84 8.17 3237 0.69
22486 GOODS-S 0.82 8.49 3241 0.91
22563 GOODS-S 0.70 8.48 3251 0.90
22404 GOODS-S 0.40 8.44 3257 1.28
22632 GOODS-S 0.73 8.11 3263 0.57
22829 GOODS-S 0.81 9.46 3268 0.56
22784 GOODS-S 0.89 8.67 3274 0.75
22897 GOODS-S 0.87 7.70 3334 0.62
23034 GOODS-S 0.86 8.72 3361 1.08
22917 GOODS-S 2.09 9.90 3375 0.67
22765 GOODS-S 1.83 10.09 3382 0.57
23059 GOODS-S 0.98 7.93 3389 0.65
23093 GOODS-S 0.92 8.28 3396 1.05
23142 GOODS-S 1.97 10.67 3402 0.66
23136 GOODS-S 1.07 8.39 3409 0.87
23155 GOODS-S 1.25 8.09 3414 0.64
23215 GOODS-S 1.59 9.77 3424 1.08
23246 GOODS-S 0.84 9.06 3436 1.21
23177 GOODS-S 0.94 8.94 3457 1.19
23413 GOODS-S 1.66 8.56 3479 0.72
23524 GOODS-S 0.70 8.35 3489 0.83
23407 GOODS-S 2.08 10.23 3504 0.68
23920 GOODS-S 0.64 8.10 3587 0.85
23992 GOODS-S 1.77 8.85 3610 0.69
23856 GOODS-S 0.90 7.85 3613 0.56
23172 GOODS-S 2.42 10.64 3649 0.67
24360 GOODS-S 0.99 8.58 3702 1.09
24480 GOODS-S 1.00 9.34 3773 0.95
24599 GOODS-S 0.78 7.92 3787 0.81
24717 GOODS-S 1.06 8.03 3801 0.74
24609 GOODS-S 1.42 9.52 3804 1.09
24671 GOODS-S 0.91 8.27 3805 0.66
24605 GOODS-S 1.79 8.88 3810 0.66
24521 GOODS-S 1.23 9.16 3825 0.68
24919 GOODS-S 0.86 9.17 3861 1.21
24769 GOODS-S 0.88 9.04 3880 1.31
25164 GOODS-S 0.93 8.26 3897 0.66
24707 GOODS-S 1.80 10.27 3933 0.94
25205 GOODS-S 1.19 9.93 3943 0.97
25253 GOODS-S 1.28 8.56 3975 0.70
25462 GOODS-S 0.72 8.40 3991 1.11
25474 GOODS-S 0.72 8.59 4015 0.83
25184 GOODS-S 2.03 9.56 4036 0.66
25687 GOODS-S 0.30 7.96 4082 1.09
25860 GOODS-S 1.11 8.56 4108 0.68
26450 GOODS-S 0.84 8.42 4239 0.68
26614 GOODS-S 0.73 8.30 4287 0.76
26728 GOODS-S 0.75 8.44 4312 1.09
26158 GOODS-S 2.18 10.77 4390 0.66
26160 GOODS-S 1.16 9.10 4409 0.68
27183 GOODS-S 0.87 7.78 4441 0.81
27304 GOODS-S 1.37 9.05 4446 0.74
27562 GOODS-S 1.14 9.31 4478 0.89
27299 GOODS-S 1.69 9.96 4497 1.24
27652 GOODS-S 0.77 8.81 4541 0.69
27862 GOODS-S 0.76 8.94 4637 1.10
28280 GOODS-S 0.92 8.96 4679 0.93
27974 GOODS-S 2.43 10.32 4682 0.68
28000 GOODS-S 1.09 9.01 4686 0.68
28310 GOODS-S 1.02 8.91 4705 0.74
28588 GOODS-S 1.77 9.60 4779 0.66
28703 GOODS-S 0.78 9.10 4795 1.24
30010 GOODS-S 2.34 10.99 4878 0.68
29417 GOODS-S 0.89 8.06 4911 0.73
29252 GOODS-S 0.45 8.44 4991 1.06
29515 GOODS-S 0.83 8.29 5028 0.71
29241 GOODS-S 0.85 9.38 5042 1.26
29733 GOODS-S 1.62 8.64 5057 0.69
29626 GOODS-S 0.40 8.32 5076 1.00
29801 GOODS-S 1.17 8.27 5091 0.61
29551 GOODS-S 0.76 8.90 5094 1.31
29630 GOODS-S 0.70 8.47 5138 0.91
29564 GOODS-S 0.81 8.33 5149 1.08
30032 GOODS-S 0.92 7.85 5156 0.63
29922 GOODS-S 1.05 9.28 5165 1.14
30286 GOODS-S 1.47 9.36 5246 0.68
30676 GOODS-S 2.23 10.87 5356 0.68
30763 GOODS-S 0.97 9.21 5362 0.69
30887 GOODS-S 0.73 9.14 5462 0.91
31009 GOODS-S 0.57 8.77 5464 1.29
31772 GOODS-S 1.00 8.64 5500 1.11
31086 GOODS-S 0.87 9.05 5505 0.85
31356 GOODS-S 1.40 10.11 5517 1.31
31227 GOODS-S 0.71 8.55 5537 1.09
31492 GOODS-S 0.86 9.27 5553 1.26
31570 GOODS-S 0.15 7.55 5560 1.11
31548 GOODS-S 0.63 8.10 5648 0.58
31736 GOODS-S 0.96 8.54 5724 0.91
31325 GOODS-S 1.32 9.36 5759 0.67
31861 GOODS-S 1.22 9.55 5783 0.68
32847 GOODS-S 0.76 7.91 5914 0.94
30492 GOODS-S 0.79 8.36 5917 0.65
32905 GOODS-S 0.78 9.09 5923 0.96
32566 GOODS-S 0.44 7.91 5937 0.62
32674 GOODS-S 1.47 9.81 5977 0.62
32224 GOODS-S 1.05 9.16 6013 1.11
33074 GOODS-S 0.65 8.16 6043 1.02
32173 GOODS-S 1.00 9.46 6069 1.10
33247 GOODS-S 0.88 7.89 6092 0.79
32879 GOODS-S 1.00 8.50 6105 0.62
33422 GOODS-S 0.96 8.23 6121 0.96
33725 GOODS-S 0.59 8.60 6223 1.25
33094 GOODS-S 1.08 9.32 6318 1.27
33407 GOODS-S 0.76 9.04 6324 1.25
33294 GOODS-S 0.89 9.60 6331 1.03
33013 GOODS-S 0.70 9.27 6375 1.20
32885 GOODS-S 1.08 9.24 6378 0.62
33498 GOODS-S 0.73 8.33 6394 0.76
33949 GOODS-S 0.65 8.60 6470 0.88
34245 GOODS-S 0.63 8.67 6490 1.09
34375 GOODS-S 0.60 8.84 6553 1.25
34050 GOODS-S 0.70 8.85 6569 0.93
34243 GOODS-S 0.82 8.47 6585 0.71
33734 GOODS-S 1.85 9.67 6652 0.79
34620 GOODS-S 1.12 8.32 6736 0.86
34880 GOODS-S 1.04 8.32 6742 0.82
35116 GOODS-S 0.55 8.46 6854 1.09
34128 GOODS-S 1.17 9.36 6883 0.73
35134 GOODS-S 0.96 9.14 6995 1.07
35692 GOODS-S 0.89 8.69 7075 0.94
35657 GOODS-S 0.66 9.10 7126 1.12
34457 GOODS-S 1.00 9.34 7134 0.79
35783 GOODS-S 0.81 7.78 7136 0.63
34803 GOODS-S 0.90 9.14 7150 0.65
35989 GOODS-S 0.77 8.35 7187 0.74
35983 GOODS-S 0.94 7.99 7189 0.56
35993 GOODS-S 1.05 8.73 7196 0.99
35255 GOODS-S 1.11 9.21 7201 0.68
35929 GOODS-S 0.96 8.54 7202 0.77
36026 GOODS-S 0.98 9.07 7240 1.09
36213 GOODS-S 0.87 8.09 7242 0.91
36001 GOODS-S 0.79 8.99 7308 0.93
36172 GOODS-S 0.33 8.21 7315 1.11
35589 GOODS-S 1.14 8.94 7329 0.81
36385 GOODS-S 0.97 8.14 7349 0.67
35579 GOODS-S 0.96 9.42 7357 0.97
34789 GOODS-S 0.65 8.73 7377 1.10
35788 GOODS-S 0.59 8.75 7399 1.27
36277 GOODS-S 0.84 7.36 7413 0.78
36084 GOODS-S 1.99 10.02 7435 1.07
35475 GOODS-S 0.86 9.74 7456 1.23
34821 GOODS-S 0.78 9.70 7495 1.04
35762 GOODS-S 1.37 8.92 7526 0.71
36291 GOODS-S 0.62 8.92 7593 1.15
36110 GOODS-S 1.05 9.02 7657 0.62
36143 GOODS-S 0.93 9.22 7680 0.78
35878 GOODS-S 0.91 9.36 7759 0.64
36121 GOODS-S 2.36 11.21 8097 0.78
37959 GOODS-S 0.84 8.45 8249 0.90
38654 GOODS-S 0.95 8.22 8355 0.58
38744 GOODS-S 0.91 8.31 8381 0.68
38053 GOODS-S 0.96 8.68 8426 0.69
39130 GOODS-S 0.93 7.88 8480 0.61
39177 GOODS-S 0.96 7.81 8487 0.96
38417 GOODS-S 1.03 9.00 8540 0.79
38571 GOODS-S 1.01 9.30 8566 1.12
39109 GOODS-S 0.61 7.67 8613 0.56
39619 GOODS-S 1.27 8.29 8660 0.58
39266 GOODS-S 1.76 9.59 8676 1.03
39235 GOODS-S 1.01 8.47 8710 0.92
39752 GOODS-S 0.58 8.28 8753 1.05
38350 GOODS-S 1.11 9.58 8833 0.78
40048 GOODS-S 1.15 8.31 8878 0.68
37429 GOODS-S 2.30 10.79 8880 0.78
39116 GOODS-S 1.01 9.08 8967 0.64
40063 GOODS-S 0.88 8.50 8993 0.65
39959 GOODS-S 1.05 9.28 9024 1.28
40117 GOODS-S 0.71 8.49 9046 0.70
38854 GOODS-S 0.98 9.00 9079 0.66
40564 GOODS-S 0.89 8.06 9099 0.89
40286 GOODS-S 1.02 8.41 9102 0.86
40163 GOODS-S 0.73 8.79 9106 0.91
40243 GOODS-S 0.71 8.52 9171 0.93
40565 GOODS-S 0.77 7.90 9220 0.68
38769 GOODS-S 1.49 9.85 9281 0.89
39835 GOODS-S 1.55 10.16 9330 1.13
40295 GOODS-S 1.31 9.12 9388 0.66
40899 GOODS-S 0.81 8.79 9392 1.10
41078 GOODS-S 0.68 8.77 9427 0.84
41075 GOODS-S 0.89 8.48 9491 0.71
41277 GOODS-S 0.97 8.11 9527 0.57
40488 GOODS-S 1.00 9.12 9550 0.67
39503 GOODS-S 1.36 10.22 9557 0.85
41338 GOODS-S 0.93 8.31 9566 0.76
41327 GOODS-S 0.64 8.10 9648 0.91
40875 GOODS-S 0.87 8.77 9654 0.95
41807 GOODS-S 1.43 8.15 9762 0.70
41822 GOODS-S 0.90 8.88 9783 0.93
42022 GOODS-S 0.94 8.19 9814 0.71
41615 GOODS-S 0.81 8.25 9841 0.66
41299 GOODS-S 0.91 8.95 9878 1.20
41810 GOODS-S 0.27 8.82 9898 1.27
41677 GOODS-S 0.92 8.42 9904 0.70
42425 GOODS-S 1.05 7.95 9956 0.77
41994 GOODS-S 1.04 7.90 10077 0.73
41478 GOODS-S 1.77 10.57 10214 1.13
42277 GOODS-S 2.04 10.02 10259 0.90
43202 GOODS-S 0.96 8.16 10316 0.88
42395 GOODS-S 0.92 9.13 10328 0.91
43326 GOODS-S 1.10 7.94 10368 0.57
43170 GOODS-S 0.81 8.57 10443 0.75
42665 GOODS-S 0.95 9.54 10514 1.27
43079 GOODS-S 0.77 9.29 10530 1.23
43566 GOODS-S 0.77 7.91 10535 0.58
44064 GOODS-S 0.90 7.95 10684 0.57
43909 GOODS-S 1.02 8.58 10749 0.87
44580 GOODS-S 1.18 7.86 10908 0.59
44204 GOODS-S 1.36 9.51 10968 1.08
42894 GOODS-S 2.41 10.35 10984 0.85
43803 GOODS-S 1.10 9.11 11001 1.22
43698 GOODS-S 1.50 9.07 11048 0.77
44843 GOODS-S 0.56 8.16 11068 0.95
43478 GOODS-S 0.96 9.50 11125 0.84
45022 GOODS-S 1.27 8.24 11154 0.80
44047 GOODS-S 0.86 9.49 11174 1.23
44627 GOODS-S 0.82 8.35 11177 1.00
44738 GOODS-S 1.43 8.64 11212 0.68
44893 GOODS-S 0.58 8.59 11233 1.12
45223 GOODS-S 0.69 8.15 11254 0.68
44769 GOODS-S 1.03 9.32 11256 1.22
43997 GOODS-S 1.96 9.84 11337 0.64
45675 GOODS-S 0.26 8.28 11384 1.29
43758 GOODS-S 2.10 10.74 11428 1.26
45502 GOODS-S 0.89 8.83 11551 0.69
44581 GOODS-S 1.31 9.44 11580 1.10
44163 GOODS-S 1.38 9.14 11711 0.67
45314 GOODS-S 0.80 8.95 11748 0.68
45410 GOODS-S 0.96 9.76 11763 1.08
45997 GOODS-S 0.95 8.45 11783 0.67
45919 GOODS-S 1.03 9.28 11800 1.11
46498 GOODS-S 0.64 8.50 11904 1.05
45727 GOODS-S 2.40 10.24 11937 1.00
45462 GOODS-S 1.02 8.01 11945 0.85
46284 GOODS-S 0.70 8.82 12001 0.69
46444 GOODS-S 1.85 10.11 12186 1.28
46520 GOODS-S 1.42 10.00 12196 1.23
46988 GOODS-S 1.19 8.19 12229 0.75
46037 GOODS-S 1.26 9.87 12262 1.23
47448 GOODS-S 1.14 8.20 12267 0.94
46562 GOODS-S 0.75 8.98 12430 0.66
47883 GOODS-S 0.88 8.49 12461 0.93
47324 GOODS-S 0.87 9.39 12493 0.95
46479 GOODS-S 0.77 9.46 12512 1.11
47990 GOODS-S 0.72 7.89 12565 0.62
48182 GOODS-S 2.07 10.27 12578 1.21
47469 GOODS-S 0.98 9.20 12595 0.94
47996 GOODS-S 0.70 8.46 12612 0.92
47997 GOODS-S 0.83 8.82 12716 1.21
48126 GOODS-S 0.86 8.01 12722 0.74
48447 GOODS-S 1.07 8.57 12827 1.07
47029 GOODS-S 0.69 8.88 12903 0.79
47225 GOODS-S 1.95 10.79 12945 1.26
48347 GOODS-S 1.06 8.50 13026 0.56
47488 GOODS-S 1.50 9.72 13029 1.19
48934 GOODS-S 0.84 8.02 13040 0.62
48107 GOODS-S 1.26 8.98 13054 0.59
49165 GOODS-S 0.85 8.88 13121 1.03
48857 GOODS-S 0.96 8.83 13150 1.21
49434 GOODS-S 0.99 8.21 13161 0.75
49366 GOODS-S 0.72 8.40 13230 0.95
47447 GOODS-S 2.18 10.16 13319 0.58
49796 GOODS-S 2.13 10.02 13433 1.29
49012 GOODS-S 0.92 8.89 13618 0.58
50298 GOODS-S 0.66 8.82 13703 1.17
50348 GOODS-S 1.51 8.71 13821 0.80
47740 GOODS-S 1.92 10.68 13920 1.09
50261 GOODS-S 1.05 9.25 13935 0.92
51293 GOODS-S 0.93 8.43 14132 0.77
52034 GOODS-S 0.75 8.07 14230 0.86
52096 GOODS-S 0.71 8.03 14239 0.95
51522 GOODS-S 0.89 8.86 14472 1.12
51533 GOODS-S 0.91 8.69 14478 1.18
51073 GOODS-S 1.31 9.54 14480 1.27
52398 GOODS-S 0.44 8.93 14487 1.26
52445 GOODS-S 0.94 8.65 14550 0.84
52961 GOODS-S 0.94 8.05 14575 0.60
52529 GOODS-S 0.86 8.48 14583 0.76
52259 GOODS-S 0.87 9.20 14693 0.73
53700 GOODS-S 1.02 8.13 14726 0.79
49771 GOODS-S 1.59 10.66 14733 0.61
51356 GOODS-S 1.10 9.52 14760 0.63
53632 GOODS-S 1.14 8.55 14822 0.87
53458 GOODS-S 1.45 9.70 14868 1.25
52204 GOODS-S 1.08 8.95 14888 0.62
52774 GOODS-S 1.20 9.52 14906 0.61
53691 GOODS-S 1.17 8.01 14909 0.64
53743 GOODS-S 1.15 8.85 14938 0.88
53588 GOODS-S 2.25 9.89 14965 1.00
52481 GOODS-S 1.82 9.91 14966 0.84
53811 GOODS-S 0.84 8.65 14984 0.88
51976 GOODS-S 0.68 8.94 14993 0.84
54056 GOODS-S 0.77 8.33 15004 0.66
54150 GOODS-S 0.69 8.00 15012 0.66
54227 GOODS-S 1.86 8.72 15030 0.69
52593 GOODS-S 2.39 10.48 15098 0.58
54232 GOODS-S 0.75 7.84 15120 0.63
53650 GOODS-S 0.89 8.98 15131 0.74
54666 GOODS-S 1.29 8.88 15143 1.03
53462 GOODS-S 1.11 9.02 15179 0.58
54742 GOODS-S 0.92 8.47 15240 0.92
55026 GOODS-S 0.42 8.67 15276 1.24
54005 GOODS-S 0.72 8.50 15306 0.61
53248 GOODS-S 0.92 9.60 15344 0.78
52945 GOODS-S 0.93 8.92 15348 0.63
55059 GOODS-S 1.49 8.44 15432 0.59
55759 GOODS-S 0.87 8.38 15497 0.89
54809 GOODS-S 0.87 8.56 15527 0.74
55736 GOODS-S 0.74 8.12 15540 0.65
53868 GOODS-S 1.61 9.64 15574 0.58
54631 GOODS-S 1.18 9.58 15647 0.83
54553 GOODS-S 1.19 9.72 15666 0.78
55951 GOODS-S 0.84 8.53 15684 0.90
55145 GOODS-S 1.18 9.46 15791 1.08
55074 GOODS-S 0.64 8.74 15823 0.58
56362 GOODS-S 0.93 8.58 15855 1.09
56391 GOODS-S 1.22 8.73 15874 0.93
56575 GOODS-S 0.98 8.78 15882 1.13
54922 GOODS-S 0.99 9.70 15966 1.23
57258 GOODS-S 0.84 8.01 16004 0.90
54977 GOODS-S 1.00 10.07 16008 1.06
56602 GOODS-S 0.59 8.67 16015 1.22
56442 GOODS-S 0.70 8.64 16047 0.99
55434 GOODS-S 2.14 10.77 16076 1.12
57308 GOODS-S 0.47 8.60 16086 1.14
56565 GOODS-S 0.89 9.03 16230 1.17
57524 GOODS-S 0.91 8.51 16277 0.70
57446 GOODS-S 1.02 10.09 16325 0.69
57014 GOODS-S 1.98 10.37 16336 1.06
57146 GOODS-S 1.06 9.22 16394 1.12
57378 GOODS-S 1.09 9.46 16550 1.29
57685 GOODS-S 1.30 9.63 16587 0.78
58176 GOODS-S 0.83 9.50 16740 1.27
58743 GOODS-S 1.02 8.53 16747 0.94
59160 GOODS-S 0.96 8.11 16767 0.64
58951 GOODS-S 0.99 7.68 16770 0.57
58615 GOODS-S 0.67 8.63 16916 1.01
58985 GOODS-S 0.78 8.68 16923 0.56
59905 GOODS-S 0.26 8.23 17020 1.05
58181 GOODS-S 2.02 10.09 17021 0.67
59595 GOODS-S 0.65 8.19 17142 0.71
59873 GOODS-S 0.91 8.73 17182 1.18
59792 GOODS-S 0.73 8.38 17187 1.12
60279 GOODS-S 0.62 8.71 17286 1.26
59586 GOODS-S 1.42 9.57 17317 0.89
59571 GOODS-S 1.09 9.28 17333 0.98
60438 GOODS-S 1.22 8.86 17378 1.08
60341 GOODS-S 2.10 10.32 17419 1.31
60709 GOODS-S 1.12 9.64 17469 1.20
61078 GOODS-S 1.18 8.72 17585 1.06
60555 GOODS-S 0.97 9.20 17686 1.18
60722 GOODS-S 1.10 8.46 17693 1.08
60999 GOODS-S 1.40 10.23 17747 1.26
61413 GOODS-S 0.87 8.51 17764 1.13
61235 GOODS-S 2.13 10.77 17800 1.13
61980 GOODS-S 1.32 8.55 17855 1.00
62188 GOODS-S 0.80 7.74 17941 0.63
61598 GOODS-S 1.28 9.18 17974 0.78
61447 GOODS-S 1.87 10.37 18006 0.92
62122 GOODS-S 0.90 8.64 18074 0.60
62528 GOODS-S 1.83 10.18 18095 0.70
62191 GOODS-S 1.44 9.68 18096 1.30
61172 GOODS-S 2.19 10.61 18169 0.66
62841 GOODS-S 1.86 8.44 18183 0.66
60296 GOODS-S 1.57 9.49 18229 0.66
62700 GOODS-S 1.03 8.32 18245 0.58
63360 GOODS-S 1.03 8.46 18387 0.89
63098 GOODS-S 1.65 9.42 18407 1.08
62788 GOODS-S 1.01 8.72 18430 0.61
63339 GOODS-S 1.85 9.01 18496 0.68
63612 GOODS-S 0.79 8.08 18528 0.65
63861 GOODS-S 1.29 9.30 18625 1.10
63902 GOODS-S 2.16 10.25 18642 0.83
64376 GOODS-S 0.88 7.93 18721 0.68
64997 GOODS-S 2.19 10.43 18766 1.31
64278 GOODS-S 0.70 8.09 18795 0.59
64503 GOODS-S 0.96 8.27 18812 0.85
64393 GOODS-S 0.73 8.33 18833 0.75
