# lam flam flam_err
3000.00 0.978582 0.041686
3025.00 0.997072 0.034998
3050.00 0.990473 0.039509
3075.00 0.982861 0.026143
3100.00 0.986223 0.023026
3125.00 0.996973 0.025146
3150.00 1.014730 0.022682
3175.00 1.014926 0.019455
3200.00 1.023501 0.020641
3225.00 1.017683 0.018403
3250.00 1.017290 0.017901
3275.00 1.025102 0.015850
3300.00 1.019847 0.015040
3325.00 1.018820 0.014373
3350.00 1.037274 0.013858
3375.00 1.031799 0.013209
3400.00 1.016209 0.013011
3425.00 1.020462 0.012576
3450.00 1.010171 0.011727
3475.00 1.002680 0.010951
3500.00 1.001029 0.012976
3525.00 1.000929 0.023939
3550.00 1.001886 0.019396
3575.00 0.997415 0.018925
3600.00 0.991628 0.009162
3625.00 0.990950 0.008897
3650.00 0.987412 0.008427
3675.00 0.990566 0.008123
3700.00 0.992258 0.008454
3725.00 0.988305 0.008458
3750.00 0.983800 0.009557
3775.00 0.979536 0.007541
3800.00 0.974440 0.008510
3825.00 0.968734 0.007415
3850.00 0.973083 0.007304
3875.00 0.975193 0.007341
3900.00 0.970448 0.007095
3925.00 0.983602 0.007659
3950.00 0.983743 0.007725
3975.00 0.993023 0.007388
4000.00 1.006325 0.005459
4025.00 1.014661 0.007333
4050.00 1.015961 0.007321
4075.00 1.018024 0.007434
4100.00 1.018968 0.006826
4125.00 1.012384 0.007323
4150.00 1.006015 0.422257
4175.00 1.003574 0.354713
4200.00 1.000489 0.007201
4225.00 1.001814 0.006620
4250.00 0.998208 0.006973
4275.00 0.996936 0.006946
4300.00 0.990821 0.006435
4325.00 0.989851 0.006136
4350.00 0.992631 0.006547
4375.00 0.991882 0.006536
4400.00 0.995331 0.006705
4425.00 1.000061 0.006487
4450.00 1.009063 0.006611
4475.00 1.007700 0.007099
4500.00 1.009396 0.006957
4525.00 1.010878 0.006892
4550.00 1.014193 0.006527
4575.00 1.015940 0.006591
4600.00 1.011837 0.006929
4625.00 1.014354 0.006377
4650.00 1.010975 0.007086
4675.00 1.013731 0.006652
4700.00 1.006713 0.006839
4725.00 1.007648 0.007179
4750.00 1.011164 0.006353
4775.00 1.011421 0.006439
4800.00 1.007803 0.006822
4825.00 1.004926 0.006691
4850.00 1.003752 0.006265
4875.00 0.998897 0.006829
4900.00 0.995896 0.006649
4925.00 0.995585 0.006347
4950.00 0.995799 0.006898
4975.00 0.994938 0.006495
5000.00 0.989512 0.006122
5025.00 0.985677 0.006441
5050.00 0.984026 0.006491
5075.00 0.977723 0.006210
5100.00 0.977871 0.006522
5125.00 0.975028 0.006656
5150.00 0.974053 0.006263
5175.00 0.975133 0.006652
5200.00 0.977915 0.006642
5225.00 0.975479 0.006327
5250.00 0.983062 0.006586
5275.00 0.987165 0.006568
5300.00 0.990242 0.006643
5325.00 0.994705 0.006896
5350.00 0.999777 0.006867
5375.00 1.004154 0.007283
5400.00 1.004745 0.007051
5425.00 1.006384 0.007327
5450.00 1.006474 0.007693
5475.00 1.005953 0.007355
5500.00 1.008052 0.007583
5525.00 1.008333 0.007698
5550.00 1.007506 0.008067
5575.00 1.005800 0.007777
5600.00 1.005971 0.008511
5625.00 1.008466 0.008356
5650.00 1.010722 0.008055
5675.00 1.013369 0.009510
5700.00 1.011494 0.009224
5725.00 1.012408 0.009690
5750.00 1.011597 0.010563
5775.00 1.009310 0.010242
5800.00 1.009941 0.009324
5825.00 1.010802 0.010734
5850.00 1.007574 0.009848
5875.00 1.004181 0.009497
5900.00 1.001866 0.010231
5925.00 0.998715 0.009628
5950.00 0.998603 0.009961
5975.00 1.000653 0.009877
6000.00 1.002398 0.015673
6025.00 1.002102 0.009879
6050.00 0.999689 0.010440
6075.00 0.997056 0.010546
6100.00 0.996874 0.011229
6125.00 0.997218 0.010865
6150.00 0.997621 0.011375
6175.00 0.995092 0.012063
6200.00 0.992993 0.011448
6225.00 0.993173 0.012413
6250.00 0.989865 0.011791
6275.00 0.990456 0.010874
6300.00 0.991493 0.011589
6325.00 0.999194 0.012250
6350.00 0.999050 0.011826
6375.00 0.995688 0.013348
6400.00 0.995563 0.013648
6425.00 1.003725 0.013507
6450.00 0.998062 0.018131
6475.00 0.999343 0.013834
6500.00 1.002266 0.014249
6525.00 1.002200 0.014036
6550.00 0.996894 0.016845
6575.00 0.995219 0.015698
6600.00 1.000854 0.014900
6625.00 1.005048 0.015578
6650.00 1.003807 0.014766
6675.00 0.998771 0.023948
6700.00 1.001924 0.015082
6725.00 0.997913 0.017024
6750.00 1.004821 0.018197
6775.00 1.000928 0.021345
6800.00 1.001897 0.019060
6825.00 0.997873 0.017581
6850.00 1.001906 0.019647
6875.00 0.999615 0.020762
6900.00 1.001645 0.021885
6925.00 0.996645 0.019445
6950.00 0.997401 0.019360
6975.00 0.992564 0.019355
7000.00 0.996178 0.020470
7025.00 0.997935 0.020855
7050.00 0.990232 0.021118
7075.00 0.985562 0.024307
7100.00 0.987491 0.021946
7125.00 1.000605 0.025691
7150.00 0.986251 0.031196
7175.00 0.985297 0.024809
7200.00 0.985504 0.023602
7225.00 0.990821 0.029972
7250.00 0.984903 0.029803
7275.00 0.992366 0.032048
7300.00 0.994319 0.022770
7325.00 0.990588 0.032781
7350.00 1.000040 0.027794
7375.00 1.005972 0.033817
7400.00 0.995018 0.028602
7425.00 0.991830 0.030069
7450.00 1.010138 0.040493
7475.00 1.016711 0.045024
7500.00 0.997056 0.030597
7525.00 1.004788 0.038973
7550.00 0.988086 0.036914
7575.00 0.996262 0.031401
