# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
#pearsid field ra dec old_z new_z dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
56832 GOODS-N 53.135260 -27.799560 0.9100 0.8483 1.1977 0.6064 1.2769 0.4963 300.7183 215.4464
57014 GOODS-S 53.135260 -27.799560 1.0600 1.0462 1.2034 0.2086 1.5574 0.1970 445.3874 425.2146
57038 GOODS-N 53.135260 -27.799560 0.8300 0.4367 nan nan -inf inf 319.9021 303.0207
57178 GOODS-N 53.135260 -27.799560 0.8900 0.5923 1.0000 1.7730 2.0449 3.8422 367.8864 334.0171
57258 GOODS-S 53.135260 -27.799560 0.9000 0.6567 1.4052 2.2824 1.4244 1.7758 289.5887 258.0321
57446 GOODS-S 53.135260 -27.799560 0.6900 0.6146 1.1626 0.1696 1.4733 0.1442 1080.2943 415.2167
57524 GOODS-S 53.135260 -27.799560 0.7000 1.2191 1.3602 1.0328 1.5738 0.8710 295.3419 274.8518
57685 GOODS-S 53.135260 -27.799560 0.7800 0.6480 1.3963 0.2316 1.2560 0.1462 1009.7779 381.6170
58181 GOODS-S 53.135260 -27.799560 0.6700 0.6700 1.3893 0.2159 1.8793 0.2061 223.0968 223.0968
58615 GOODS-S 53.135260 -27.799560 1.0100 1.0570 0.9105 0.5844 1.0717 0.5156 295.2030 267.5402
58856 GOODS-N 53.135260 -27.799560 0.5800 0.5591 1.1997 0.2250 2.5861 0.4245 272.2641 255.5928
59375 GOODS-N 53.135260 -27.799560 1.0100 0.9966 1.1651 0.1736 1.3280 0.1412 945.0175 925.5399
59713 GOODS-N 53.135260 -27.799560 0.5800 0.4999 inf inf inf inf 220.5111 215.5276
59792 GOODS-S 53.135260 -27.799560 1.1200 1.2286 0.8243 1.6071 0.7048 1.5794 317.0315 310.2094
59863 GOODS-N 53.135260 -27.799560 0.8000 0.7532 1.1066 0.2261 1.2790 0.1934 787.4798 704.6396
60296 GOODS-S 53.135260 -27.799560 0.6600 0.6167 1.0486 0.2095 1.3980 0.1894 344.7101 322.9467
60675 GOODS-N 53.135260 -27.799560 0.8200 0.7842 1.1525 0.3668 1.5439 0.3583 309.0417 253.2504
60999 GOODS-S 53.135260 -27.799560 1.2600 1.2156 1.2475 0.3424 1.2162 0.2548 1170.8804 1139.6083
61172 GOODS-S 53.135260 -27.799560 0.6600 0.6659 1.2903 0.1532 1.7449 0.1416 529.7448 496.9574
61235 GOODS-S 53.135260 -27.799560 1.1300 1.1300 1.6033 0.2562 1.8215 0.2192 644.9867 644.9867
61291 GOODS-N 53.135260 -27.799560 0.9900 0.9923 1.3811 0.1957 1.6908 0.1724 382.6838 357.4134
61447 GOODS-S 53.135260 -27.799560 0.9200 0.9301 1.1890 0.1631 1.4205 0.1442 970.4717 862.6435
61746 GOODS-N 53.135260 -27.799560 0.9500 0.9500 1.2982 0.2805 1.2528 0.2028 461.6310 461.6310
61980 GOODS-S 53.135260 -27.799560 1.0000 1.3965 2.5784 8.5252 1.0278 3.5287 323.4683 315.2751
62107 GOODS-N 53.135260 -27.799560 1.0000 1.0519 1.2556 0.2302 1.6307 0.2070 467.3235 388.4449
62376 GOODS-N 53.135260 -27.799560 0.9300 0.9172 1.1846 0.2697 1.1954 0.1954 545.1049 543.8527
62528 GOODS-S 53.135260 -27.799560 0.7000 0.7005 1.2082 0.1436 1.5834 0.1264 405.2746 390.7353
62543 GOODS-N 53.135260 -27.799560 0.9700 0.8821 1.1111 0.4878 1.2422 0.3935 574.3329 435.9342
62741 GOODS-N 53.135260 -27.799560 0.6000 0.3951 nan nan nan nan 588.0843 572.5503
63339 GOODS-S 53.135260 -27.799560 0.6800 0.7236 1.0543 0.7286 1.3612 0.6423 233.0635 228.6159
63360 GOODS-S 53.135260 -27.799560 0.8900 0.9280 0.9560 1.2354 1.2081 1.0498 294.3379 286.6215
63419 GOODS-N 53.135260 -27.799560 1.0000 1.0243 1.2242 0.2992 1.2940 0.2364 1005.9607 981.5876
63526 GOODS-N 53.135260 -27.799560 0.8700 0.8910 1.4456 0.3648 1.8201 0.3355 466.2097 410.7869
63902 GOODS-S 53.135260 -27.799560 0.8300 0.8300 1.3995 0.2201 1.7739 0.2024 348.8775 348.8775
64376 GOODS-S 53.135260 -27.799560 0.6800 0.7002 1.8632 2.5807 1.8668 2.4220 223.3364 217.3508
64393 GOODS-S 53.135260 -27.799560 0.7500 0.7384 1.2726 0.5692 1.0960 0.3701 205.5525 203.5850
64394 GOODS-N 53.135260 -27.799560 0.9900 0.9637 0.9863 0.3903 1.1465 0.3179 450.1477 429.6203
64469 GOODS-N 53.135260 -27.799560 0.5700 0.5596 1.2600 0.1527 2.8375 0.2990 513.0863 466.4968
64523 GOODS-N 53.135260 -27.799560 1.2100 1.1809 1.4009 0.3622 1.3499 0.2453 951.5510 931.2759
65179 GOODS-S 53.135260 -27.799560 0.7500 0.4912 inf inf inf inf 338.9405 283.1824
65347 GOODS-N 53.135260 -27.799560 0.7400 0.7285 1.3459 1.5746 1.6007 1.6434 369.8242 363.8593
65404 GOODS-N 53.135260 -27.799560 1.0100 1.1760 1.1536 0.1177 1.3177 0.0947 2879.3121 2307.7726
65572 GOODS-S 53.135260 -27.799560 0.6700 0.7179 0.9927 0.4177 1.3984 0.5780 11190.4567 10840.0239
65589 GOODS-N 53.135260 -27.799560 0.8200 0.7499 0.7145 0.8663 1.0176 0.8383 198.0565 176.2424
65620 GOODS-S 53.135260 -27.799560 0.9700 0.9820 1.3650 0.1326 1.6700 0.1138 1209.7837 1156.3441
65825 GOODS-S 53.135260 -27.799560 0.8700 0.8784 1.1358 0.1837 1.1753 0.1391 841.8495 840.2520
65831 GOODS-N 53.135260 -27.799560 0.9100 0.8130 1.2349 0.5090 1.2594 0.3776 312.1773 216.9335
65981 GOODS-S 53.135260 -27.799560 0.7200 0.7086 1.3988 0.3190 1.2925 0.2068 337.3114 324.4417
66190 GOODS-S 53.135260 -27.799560 0.7100 0.5086 inf inf inf inf 210.2865 199.1629
66256 GOODS-S 53.135260 -27.799560 0.6800 0.6800 1.4831 0.2395 1.9735 0.2216 271.8961 271.8961
66620 GOODS-S 53.135260 -27.799560 0.7500 0.6935 1.6632 1.6753 1.5052 1.0077 201.5848 190.9216
66708 GOODS-S 53.135260 -27.799560 0.6700 0.5955 1.1815 0.2512 1.4665 0.2032 520.5488 332.5361
66729 GOODS-S 53.135260 -27.799560 0.6800 0.6363 1.1394 0.1371 1.4944 0.1208 1084.3704 609.0675
66753 GOODS-N 53.135260 -27.799560 0.7200 0.6863 1.4675 0.1912 1.4091 0.1251 355.4054 280.3582
66873 GOODS-N 53.135260 -27.799560 0.9200 0.8460 0.9195 0.8028 1.4884 0.8808 411.7927 400.1738
67081 GOODS-N 53.135260 -27.799560 0.8000 0.7763 1.3857 2.2061 1.7778 2.3253 190.5342 183.6295
67542 GOODS-S 53.135260 -27.799560 0.9700 0.6691 1.6500 1.3467 1.4210 0.8257 426.3771 403.4682
67558 GOODS-S 53.135260 -27.799560 0.9600 0.8607 0.8386 0.6877 1.0617 0.5882 185.2326 146.5246
67599 GOODS-S 53.135260 -27.799560 0.7300 0.6634 1.2182 0.4538 1.0605 0.2811 420.3985 385.6990
67752 GOODS-S 53.135260 -27.799560 0.9000 0.6471 1.0031 1.2109 0.8423 0.7484 350.3353 322.1140
67814 GOODS-S 53.135260 -27.799560 0.8400 0.7692 1.1629 0.1449 1.3263 0.1227 889.2873 398.1389
67929 GOODS-S 53.135260 -27.799560 0.8700 0.5409 1.3661 14.7331 6.6291 57.1587 258.8610 248.1980
68303 GOODS-S 53.135260 -27.799560 1.0700 1.0033 0.7047 1.0030 0.8618 0.7879 318.8635 274.8060
68414 GOODS-S 53.135260 -27.799560 1.0300 0.7804 1.5153 1.2740 1.6210 1.0015 295.4183 228.4911
68430 GOODS-N 53.135260 -27.799560 0.9200 0.7884 1.4114 1.5891 1.2667 0.9612 193.1069 187.5016
68675 GOODS-S 53.135260 -27.799560 0.6700 0.6945 1.0602 0.1165 1.2715 0.0938 2301.0761 2162.2393
68827 GOODS-S 53.135260 -27.799560 1.3100 1.2498 1.2556 0.1448 0.6967 0.0670 3687.8846 2742.7872
68841 GOODS-S 53.135260 -27.799560 1.1000 1.1146 1.0583 0.2274 1.3172 0.2148 378.1782 365.7855
68852 GOODS-S 53.135260 -27.799560 0.7500 0.6508 1.0293 0.6533 1.0631 0.5360 420.2801 359.7246
68918 GOODS-S 53.135260 -27.799560 1.1100 1.3564 3.7367 11.4423 1.5930 2.4185 340.7142 325.0312
68982 GOODS-S 53.135260 -27.799560 0.8200 0.8388 1.0802 0.2716 1.3371 0.2494 466.1440 458.2252
69195 GOODS-N 53.135260 -27.799560 1.0400 0.9366 0.8859 1.1359 1.3344 0.9590 359.9421 335.2037
69234 GOODS-S 53.135260 -27.799560 0.9900 0.8892 0.8342 0.3784 1.0329 0.3484 424.1510 223.4466
69419 GOODS-N 53.135260 -27.799560 0.8200 0.8266 1.1239 0.6108 1.4631 0.5958 330.7711 330.6684
69713 GOODS-S 53.135260 -27.799560 0.6900 0.4567 nan nan inf inf 629.1542 478.9953
69850 GOODS-N 53.135260 -27.799560 0.8800 0.7847 1.0440 0.2765 1.0414 0.1989 722.0866 558.8514
70128 GOODS-S 53.135260 -27.799560 0.7600 0.7368 1.1462 1.2881 1.0215 0.7109 186.6271 176.8884
70225 GOODS-S 53.135260 -27.799560 0.7000 0.3560 nan nan nan nan 246.7001 229.0083
70232 GOODS-S 53.135260 -27.799560 0.6700 0.5655 1.0680 0.1187 2.0688 0.1785 2640.6000 972.0783
70340 GOODS-S 53.135260 -27.799560 1.0500 0.9586 0.9611 1.2244 1.1358 0.9658 304.2110 271.7492
70677 GOODS-N 53.135260 -27.799560 0.9800 0.9412 1.2370 0.5232 1.3924 0.4178 306.8585 290.9447
70821 GOODS-S 53.135260 -27.799560 0.7800 0.3148 nan nan nan nan 246.9313 230.1841
70859 GOODS-S 53.135260 -27.799560 0.7600 0.9821 1.0421 0.9131 0.9408 0.6240 172.7620 130.6196
70874 GOODS-N 53.135260 -27.799560 0.8700 0.9039 1.2879 0.4146 1.3547 0.3329 187.8751 169.3439
70878 GOODS-S 53.135260 -27.799560 0.7200 0.6644 1.4451 0.3897 1.3007 0.2377 272.3132 213.1045
70974 GOODS-N 53.135260 -27.799560 0.9600 0.9637 1.6726 1.6287 1.6745 1.0932 205.5888 199.4474
71524 GOODS-S 53.135260 -27.799560 1.2000 1.2000 1.2924 0.2686 1.2806 0.1970 3964.8981 3964.8981
71560 GOODS-S 53.135260 -27.799560 0.6800 0.6578 1.1632 0.5170 1.5924 0.5132 163.2506 154.8744
71864 GOODS-S 53.135260 -27.799560 0.7600 1.2728 1.5088 0.6940 1.5246 0.4336 737.3851 669.2660
71891 GOODS-N 53.135260 -27.799560 0.9000 0.9731 1.5908 1.9842 1.2420 1.4476 232.7488 230.3494
71974 GOODS-N 53.135260 -27.799560 0.6200 0.6092 1.5238 1.2058 1.8094 1.0551 215.2806 213.4233
72113 GOODS-S 53.135260 -27.799560 1.0900 1.2145 0.6265 1.2997 0.7848 1.2499 289.7055 250.2462
72261 GOODS-N 53.135260 -27.799560 0.9100 0.7154 1.6676 1.3916 1.7375 1.1308 328.9933 263.2184
72319 GOODS-S 53.135260 -27.799560 0.9500 1.1302 1.0753 1.0895 1.0027 0.7108 430.2478 337.1273
72684 GOODS-N 53.135260 -27.799560 1.2000 1.0754 1.4333 0.4097 1.3384 0.2726 1020.8190 528.0896
72800 GOODS-N 53.135260 -27.799560 0.6500 0.7059 1.2053 0.1294 1.5491 0.1115 875.2492 455.5697
72905 GOODS-S 53.135260 -27.799560 0.6600 0.7002 1.1297 0.1250 1.4911 0.1114 470.8475 280.9703
72986 GOODS-N 53.135260 -27.799560 0.9300 0.9750 1.0901 0.3171 1.1402 0.2452 601.4534 564.1484
73331 GOODS-N 53.135260 -27.799560 0.9300 0.8207 1.2414 1.0280 1.3250 0.8649 269.3135 242.8257
73333 GOODS-S 53.135260 -27.799560 0.6200 0.6093 1.2366 0.1404 1.4264 0.1121 130.5947 103.4196
73423 GOODS-S 53.135260 -27.799560 0.6800 0.6257 1.1731 0.4718 1.5428 0.4211 296.5840 168.9559
73549 GOODS-S 53.135260 -27.799560 0.6900 0.5362 2.6698 3.8054 6.5668 8.8565 286.5415 207.6727
73626 GOODS-N 53.135260 -27.799560 0.7600 0.7031 1.0654 1.1051 1.0283 0.7426 306.4900 282.3769
73866 GOODS-S 53.135260 -27.799560 0.6900 0.6569 1.1025 0.3799 1.5534 0.3790 259.9832 221.7478
73974 GOODS-S 53.135260 -27.799560 1.2000 1.1855 1.6906 0.4856 1.6452 0.3651 461.4995 455.5559
74039 GOODS-S 53.135260 -27.799560 0.7600 0.7600 1.9463 0.5293 1.5508 0.2796 841.2349 841.2349
74060 GOODS-S 53.135260 -27.799560 0.6600 0.6662 1.3972 0.1553 1.8891 0.1421 334.8887 319.7633
74133 GOODS-S 53.135260 -27.799560 0.6600 0.6660 1.2821 0.1344 1.7296 0.1221 826.4238 805.2900
74166 GOODS-S 53.135260 -27.799560 0.9300 0.7759 1.2206 0.7234 1.1154 0.5034 842.6304 737.4589
74217 GOODS-S 53.135260 -27.799560 0.9400 1.0357 1.4555 2.0891 1.1962 0.9789 435.1431 382.6234
74418 GOODS-S 53.135260 -27.799560 0.6900 0.6044 1.2099 0.7945 1.6894 0.7699 230.8703 194.4966
74641 GOODS-N 53.135260 -27.799560 0.8500 0.8500 1.2229 0.2101 1.4036 0.1834 597.2212 597.2212
74943 GOODS-N 53.135260 -27.799560 1.0100 0.9081 1.1459 0.7965 1.1454 0.5846 385.6742 354.1971
74950 GOODS-S 53.135260 -27.799560 1.0900 1.1835 1.2020 1.1838 1.4250 1.1014 260.4409 228.6471
75495 GOODS-S 53.135260 -27.799560 0.6800 0.5848 1.1522 0.3971 1.7107 0.4268 344.8093 183.0466
75556 GOODS-N 53.135260 -27.799560 0.8800 0.7514 1.2686 0.3670 1.2792 0.2643 488.1110 298.8339
75604 GOODS-S 53.135260 -27.799560 0.6300 0.5980 1.2903 1.4271 1.8290 1.4914 223.8966 216.6789
75659 GOODS-N 53.135260 -27.799560 0.9200 0.8226 1.1111 0.1577 1.1352 0.1149 2012.8646 1087.1080
75733 GOODS-S 53.135260 -27.799560 0.6800 0.6153 1.4011 1.2201 1.7880 1.0374 190.1520 163.6466
75938 GOODS-S 53.135260 -27.799560 0.9100 0.8973 1.9498 5.5270 2.0652 3.5652 300.7382 298.5869
75971 GOODS-S 53.135260 -27.799560 0.8900 0.7941 1.2551 1.0668 1.4228 0.9775 263.3730 239.1728
76094 GOODS-S 53.135260 -27.799560 0.6800 0.6888 1.2297 0.1262 1.6512 0.1142 1126.1284 1091.5505
76098 GOODS-N 53.135260 -27.799560 0.8600 0.9383 1.4614 0.1674 1.8287 0.1566 1833.8481 577.5972
76123 GOODS-N 53.135260 -27.799560 0.7900 0.5885 2.7327 7.5142 1.6249 2.1479 243.5734 209.1801
76150 GOODS-S 53.135260 -27.799560 0.6300 0.6595 8.6883 69.8042 4.0675 12.1810 214.7043 191.7451
76197 GOODS-S 53.135260 -27.799560 1.0500 1.0231 1.0457 0.4330 1.0453 0.3282 271.1801 248.8379
76612 GOODS-S 53.135260 -27.799560 0.8700 0.8784 1.1481 0.3312 1.1548 0.2495 398.5308 395.6089
76706 GOODS-S 53.135260 -27.799560 0.7800 0.7805 1.1856 1.1849 1.2025 0.9536 168.6490 167.3803
76863 GOODS-S 53.135260 -27.799560 1.0100 1.0157 1.1940 0.3198 1.4146 0.2681 248.0005 243.3891
76864 GOODS-S 53.135260 -27.799560 0.8400 0.7691 1.1462 0.4908 1.2774 0.3997 350.5134 289.3851
76889 GOODS-N 53.135260 -27.799560 0.9400 1.0073 1.4961 0.3214 1.5266 0.2333 608.0747 382.3266
76917 GOODS-N 53.135260 -27.799560 0.9300 0.7980 1.1847 0.2290 1.1744 0.1606 1556.8790 872.1766
76924 GOODS-S 53.135260 -27.799560 0.8500 0.9883 1.7974 3.2758 2.2192 3.4387 263.7563 253.3156
76936 GOODS-N 53.135260 -27.799560 0.6900 0.6461 1.1928 0.3622 1.5934 0.3325 307.7918 238.3209
77037 GOODS-N 53.135260 -27.799560 0.8400 1.3760 3.2933 6.2357 2.3552 2.7943 227.9710 218.5979
77405 GOODS-S 53.135260 -27.799560 0.5800 0.6071 3.6192 18.3889 2.0911 4.9618 101.6543 94.1322
77522 GOODS-S 53.135260 -27.799560 0.6300 0.6300 1.2814 0.1461 1.5090 0.1190 791.1988 791.1988
77539 GOODS-S 53.135260 -27.799560 0.6900 0.6249 1.0265 0.7783 1.1571 0.5067 324.6306 293.0105
77668 GOODS-S 53.135260 -27.799560 0.7200 0.6022 2.0341 2.0297 1.7759 1.4596 366.0958 310.5684
77819 GOODS-N 53.135260 -27.799560 0.8400 0.7806 1.1474 1.3673 1.5393 1.3110 305.3037 294.3812
77821 GOODS-S 53.135260 -27.799560 1.0000 1.0950 1.2402 0.2234 1.3152 0.1710 1133.9581 664.4611
77853 GOODS-S 53.135260 -27.799560 0.6600 0.5759 1.0321 2.5925 1.4669 2.9765 166.9429 153.7683
78036 GOODS-S 53.135260 -27.799560 1.2000 0.5414 1.8068 1.5525 3.6137 2.8281 623.1276 300.3511
78077 GOODS-S 53.135260 -27.799560 0.7400 0.7173 1.3766 0.1331 1.1721 0.0783 4332.9504 4145.5154
78140 GOODS-S 53.135260 -27.799560 1.0400 0.9244 1.2817 0.7060 1.3038 0.5051 278.6081 236.6185
78170 GOODS-S 53.135260 -27.799560 0.5900 0.5918 1.6377 2.0382 1.9241 1.7284 213.2365 212.4836
78180 GOODS-N 53.135260 -27.799560 0.7800 0.6480 1.4833 1.1589 1.0173 0.5890 307.5789 235.8856
78224 GOODS-S 53.135260 -27.799560 0.6700 0.6720 1.4817 1.2258 1.7521 1.0008 247.6995 246.7728
78273 GOODS-S 53.135260 -27.799560 0.7500 0.7384 1.1660 1.8753 1.1514 1.3218 149.7944 147.0091
78345 GOODS-N 53.135260 -27.799560 0.9000 0.8750 1.0856 0.3408 1.0165 0.2455 514.4131 498.5050
78415 GOODS-S 53.135260 -27.799560 0.6600 0.6774 1.2831 0.1533 1.7193 0.1396 522.5464 414.3477
78527 GOODS-S 53.135260 -27.799560 0.7800 0.3759 nan nan nan nan 2336.8404 1019.8210
78710 GOODS-S 53.135260 -27.799560 1.1600 1.1457 1.2712 0.4590 1.3464 0.3644 415.0452 412.3638
78761 GOODS-S 53.135260 -27.799560 1.0300 0.8911 0.9660 0.7696 1.0789 0.6376 403.6149 311.9937
79058 GOODS-S 53.135260 -27.799560 0.9200 0.9565 1.0245 0.3140 1.0019 0.2259 662.1331 614.6082
79185 GOODS-N 53.135260 -27.799560 0.8500 0.8500 1.3606 0.1458 1.6544 0.1304 1300.5701 1300.5701
79756 GOODS-S 53.135260 -27.799560 1.1400 1.2534 1.8708 2.0423 1.2144 1.2663 400.6389 389.6306
79891 GOODS-S 53.135260 -27.799560 0.9500 0.8054 0.8377 1.1124 1.1054 0.8858 324.9219 309.6966
79895 GOODS-S 53.135260 -27.799560 0.6700 0.6719 1.3481 0.6143 1.8818 0.6290 281.1617 276.9955
79903 GOODS-N 53.135260 -27.799560 0.6800 0.6579 1.0546 0.1545 1.2979 0.1298 1983.4540 1960.7392
79928 GOODS-N 53.135260 -27.799560 0.8800 0.8076 1.0664 0.1554 1.1037 0.1158 1570.9192 1043.4935
79986 GOODS-N 53.135260 -27.799560 0.8300 0.8058 0.9307 1.6742 1.1600 1.3531 143.1960 142.6163
80115 GOODS-S 53.135260 -27.799560 0.6000 0.5685 1.1425 0.2295 1.9421 0.3185 290.1560 213.1260
80255 GOODS-S 53.135260 -27.799560 0.9500 0.9117 1.1031 0.2182 1.1266 0.1587 702.4806 519.3608
80411 GOODS-N 53.135260 -27.799560 0.8400 0.8622 1.3786 0.1996 1.6863 0.1825 360.3242 298.9875
80446 GOODS-S 53.135260 -27.799560 0.6600 0.6490 1.3971 1.7586 1.9469 1.8830 122.2604 121.9860
80500 GOODS-S 53.135260 -27.799560 0.6600 0.5274 5.0885 2.7552 10.7824 5.6949 1555.5504 739.6187
80618 GOODS-S 53.135260 -27.799560 0.7100 0.7772 1.5036 1.1981 2.6509 1.4618 363.7895 298.2371
80892 GOODS-S 53.135260 -27.799560 1.0700 0.9776 0.7592 0.8100 0.8607 0.6482 367.3059 305.4951
81011 GOODS-S 53.135260 -27.799560 0.9300 0.9353 1.2994 0.1384 1.4395 0.1110 1425.1205 1401.5424
81021 GOODS-S 53.135260 -27.799560 1.0900 1.1685 0.8163 0.2378 1.2910 0.2583 698.7626 524.8858
81024 GOODS-N 53.135260 -27.799560 0.8200 0.8267 1.5028 0.6426 1.9792 0.6548 360.1935 340.3691
81296 GOODS-S 53.135260 -27.799560 1.0200 1.0065 1.3732 0.9834 1.3136 0.6890 304.8854 298.2660
81384 GOODS-S 53.135260 -27.799560 0.6900 0.6568 1.5361 1.4016 1.8941 1.0541 150.9790 148.5383
81946 GOODS-N 53.135260 -27.799560 0.8600 0.8477 1.2292 1.2608 1.3189 1.0845 172.4335 169.9982
82075 GOODS-S 53.135260 -27.799560 0.8200 1.1593 2.8576 3.1927 2.8778 2.1842 296.6972 258.4535
82112 GOODS-S 53.135260 -27.799560 0.6900 0.6249 1.1668 1.1072 1.6362 1.0411 226.3868 203.4183
82141 GOODS-N 53.135260 -27.799560 0.9500 0.9370 1.1453 0.1380 1.2005 0.1057 1098.4936 1063.6032
82267 GOODS-N 53.135260 -27.799560 0.9200 0.9200 1.1678 0.1981 1.3244 0.1629 403.3364 403.3364
82314 GOODS-S 53.135260 -27.799560 1.0000 0.8867 0.8782 0.3622 1.2027 0.3720 562.6947 378.7833
82391 GOODS-N 53.135260 -27.799560 0.8600 0.8236 1.7495 1.5642 1.0367 0.6403 375.5863 348.9642
82400 GOODS-N 53.135260 -27.799560 0.6700 0.5954 1.1059 0.6551 1.4802 0.7233 380.9545 297.5656
82523 GOODS-N 53.135260 -27.799560 0.9600 0.8724 1.2158 0.4694 1.3199 0.3786 359.4319 305.1843
82693 GOODS-N 53.135260 -27.799560 0.8500 0.8019 0.9224 0.3333 0.9907 0.2583 697.8824 601.1027
83248 GOODS-S 53.135260 -27.799560 0.6300 0.6191 1.4001 0.2003 1.6277 0.1657 460.5468 422.7790
83434 GOODS-N 53.135260 -27.799560 0.8700 0.6117 1.7724 1.7471 1.2205 0.7918 398.6216 359.9995
83503 GOODS-N 53.135260 -27.799560 0.8600 0.8607 1.3109 0.1332 1.5820 0.1178 442.0525 433.6342
83628 GOODS-N 53.135260 -27.799560 0.8700 0.8576 1.2219 0.5934 1.4266 0.5044 226.8626 226.0820
83686 GOODS-S 53.135260 -27.799560 0.8500 0.7904 1.1005 0.1896 1.1710 0.1477 1359.1244 1047.2094
83749 GOODS-S 53.135260 -27.799560 0.6800 0.4997 -inf inf -inf inf 1856.0848 1699.7823
83789 GOODS-S 53.135260 -27.799560 0.7600 0.5998 2.1758 1.1584 1.6742 0.5695 1554.2321 1096.3989
83834 GOODS-S 53.135260 -27.799560 0.6100 0.5381 2.0521 0.3649 4.3346 0.7065 1152.6597 634.8214
83975 GOODS-S 53.135260 -27.799560 0.6300 0.5980 1.1303 0.1645 1.3447 0.1416 263.9246 182.3761
83999 GOODS-N 53.135260 -27.799560 0.8900 0.9018 1.2625 0.3157 1.2901 0.2319 366.1665 364.8895
84028 GOODS-N 53.135260 -27.799560 0.8300 0.8180 1.4477 1.6529 1.5383 1.2323 233.0137 230.4954
84033 GOODS-N 53.135260 -27.799560 0.7300 0.7764 1.4905 0.7169 1.4255 0.4730 382.7505 354.9578
84077 GOODS-N 53.135260 -27.799560 0.9400 1.2746 1.1674 0.2578 1.3742 0.2044 3955.1782 2816.3523
84143 GOODS-N 53.135260 -27.799560 0.9100 0.7684 1.0519 0.5789 0.9544 0.3911 415.7011 318.1646
84173 GOODS-S 53.135260 -27.799560 0.7200 0.6432 1.5881 0.5814 1.5901 0.4185 359.5544 274.9633
84197 GOODS-S 53.135260 -27.799560 0.9200 0.8823 1.1097 0.2952 1.0906 0.2113 553.8089 501.3505
84233 GOODS-N 53.135260 -27.799560 0.9300 1.0596 1.1065 1.3138 0.8213 0.9332 247.3591 228.8134
84321 GOODS-N 53.135260 -27.799560 0.6400 0.7483 2.1179 4.6421 2.5166 3.9831 227.6672 215.4745
84478 GOODS-S 53.135260 -27.799560 0.7300 0.5919 1.4061 0.3049 1.4168 0.2212 895.8936 243.3916
84543 GOODS-N 53.135260 -27.799560 0.9100 0.9780 1.1306 0.8423 1.2604 0.6560 273.5849 223.7322
84551 GOODS-N 53.135260 -27.799560 0.8100 0.7745 3.4020 14.2638 11.4434 65.8208 339.9308 332.1928
84617 GOODS-N 53.135260 -27.799560 0.8900 1.1798 1.8390 1.5854 1.7622 1.1699 454.7535 436.0846
84625 GOODS-S 53.135260 -27.799560 0.6400 0.5870 1.1286 0.1582 1.4789 0.1499 568.0380 218.9684
84649 GOODS-N 53.135260 -27.799560 0.8400 0.8623 1.4951 0.2758 1.7287 0.2301 336.7788 223.8781
84974 GOODS-N 53.135260 -27.799560 0.8900 0.8649 1.0909 0.2541 1.1427 0.1974 317.7425 226.9914
85002 GOODS-N 53.135260 -27.799560 0.8700 0.8454 1.6626 0.7958 2.1389 0.7230 458.2786 429.8448
85023 GOODS-N 53.135260 -27.799560 0.8200 0.8389 1.1771 0.4981 1.6040 0.4567 282.4443 268.0424
85073 GOODS-N 53.135260 -27.799560 0.9700 0.9822 1.1660 0.2407 1.4822 0.2069 424.6176 415.9186
85100 GOODS-N 53.135260 -27.799560 1.0200 1.3872 1.3709 0.6117 1.3890 0.4382 736.3656 605.2138
85356 GOODS-N 53.135260 -27.799560 0.8400 0.8400 1.3580 0.2667 1.6335 0.2413 190.8564 190.8564
85374 GOODS-S 53.135260 -27.799560 0.9500 0.6807 2.1203 3.4419 2.0677 2.4354 234.1818 171.2531
85410 GOODS-N 53.135260 -27.799560 0.7500 0.3739 nan nan nan nan 1292.1145 948.7343
85489 GOODS-N 53.135260 -27.799560 0.8500 0.8500 1.8012 0.8108 1.9227 0.6501 337.6890 337.6890
85517 GOODS-S 53.135260 -27.799560 0.8800 0.8963 1.7673 0.5353 0.8743 0.2892 2341.3269 2254.0015
85552 GOODS-S 53.135260 -27.799560 0.9100 0.9783 1.3217 0.6577 1.4892 0.5641 246.6606 214.6088
85844 GOODS-S 53.135260 -27.799560 1.0300 1.1854 3.4961 2.7954 1.0130 1.1761 1554.5988 1456.6941
86051 GOODS-S 53.135260 -27.799560 0.6500 0.5468 1.3445 0.1558 3.2267 0.3257 2259.4983 1249.3208
86234 GOODS-N 53.135260 -27.799560 0.9300 0.6731 1.0151 0.7676 0.9187 0.5736 413.2259 393.6435
86297 GOODS-N 53.135260 -27.799560 0.5700 0.6122 2.3452 3.5532 1.9160 1.9491 205.2230 190.2007
86941 GOODS-N 53.135260 -27.799560 0.8400 0.8496 1.6735 2.1620 2.4058 2.2480 292.4406 290.7363
87368 GOODS-N 53.135260 -27.799560 0.8200 0.8389 1.3822 0.2947 1.7753 0.2721 693.5587 611.3474
87420 GOODS-S 53.135260 -27.799560 0.7300 0.7300 1.3331 0.4181 1.2260 0.2664 300.3768 300.3768
87433 GOODS-N 53.135260 -27.799560 0.7700 0.6910 1.4489 0.2131 1.2984 0.1333 1161.0255 575.0464
87585 GOODS-N 53.135260 -27.799560 0.8400 0.8400 1.3976 0.2037 1.7138 0.1792 308.3087 308.3087
87611 GOODS-S 53.135260 -27.799560 1.0600 1.3689 2.2753 3.1691 1.5913 1.4482 314.9785 303.4554
