# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
#pearsid field ra dec old_z new_z dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
24367 GOODS-S 53.135260 -27.799560 0.7200 0.4997 inf inf inf inf 277.2587 221.4614
24480 GOODS-S 53.135260 -27.799560 0.9500 0.9370 1.1471 0.2490 1.1069 0.1812 480.8912 462.9275
24599 GOODS-S 53.135260 -27.799560 0.8100 1.4021 0.7716 1.3387 1.6717 1.6876 411.5308 308.2670
24717 GOODS-S 53.135260 -27.799560 0.7400 0.7400 1.1460 1.8423 0.7832 1.0770 194.0077 194.0077
24770 GOODS-S 53.135260 -27.799560 0.9400 0.9939 1.1409 0.8711 1.0826 0.6339 226.8632 217.9045
25164 GOODS-S 53.135260 -27.799560 0.6600 0.4226 nan nan inf inf 347.0950 303.6100
25205 GOODS-S 53.135260 -27.799560 0.9700 0.9314 1.1116 0.1234 1.2734 0.0995 2001.3191 1805.2139
25474 GOODS-S 53.135260 -27.799560 0.8300 0.8059 1.1761 0.5083 1.5356 0.4747 352.6398 345.6086
26158 GOODS-S 53.135260 -27.799560 0.6600 0.6600 1.4265 0.1574 1.8852 0.1398 174.0068 174.0068
26450 GOODS-S 53.135260 -27.799560 0.6800 0.6579 1.1435 0.4277 1.3154 0.3125 373.8629 356.9557
26614 GOODS-S 53.135260 -27.799560 0.7600 0.7600 2.1600 9.1785 2.7267 7.9897 299.6799 299.6799
26909 GOODS-S 53.135260 -27.799560 1.0700 1.1149 0.8863 0.1133 0.4426 0.0775 18929.2229 18071.5826
27304 GOODS-S 53.135260 -27.799560 0.7400 0.7058 1.3806 0.5095 1.4150 0.3904 278.9802 237.2388
27562 GOODS-S 53.135260 -27.799560 0.8900 0.8900 1.0629 0.3255 1.1095 0.2527 432.3146 432.3146
27974 GOODS-S 53.135260 -27.799560 0.6800 0.6689 1.3409 0.2910 1.9253 0.2896 334.5245 327.3672
28280 GOODS-S 53.135260 -27.799560 0.9300 1.0304 0.6686 0.9623 1.0177 0.8805 277.1320 273.3373
28310 GOODS-S 53.135260 -27.799560 0.7400 0.8452 1.4595 0.5337 1.2298 0.2997 488.1138 427.0049
29322 GOODS-S 53.135260 -27.799560 0.9600 0.9342 1.1489 0.2238 1.1464 0.1724 655.0080 588.5810
29515 GOODS-S 53.135260 -27.799560 0.7100 0.6233 1.0584 0.6118 1.2797 0.4701 313.1119 285.6503
29626 GOODS-S 53.135260 -27.799560 1.0000 1.3404 1.9973 1.6969 3.7746 1.9416 2073.3883 1325.2895
29922 GOODS-S 53.135260 -27.799560 1.1400 1.0060 0.9506 0.6535 1.2936 0.5851 474.5613 414.4234
30010 GOODS-S 53.135260 -27.799560 0.6800 0.6800 1.4184 0.3355 2.0519 0.3321 259.3342 259.3342
30286 GOODS-S 53.135260 -27.799560 0.6800 0.6258 1.2088 0.2913 1.5069 0.2529 361.1831 165.3564
30676 GOODS-S 53.135260 -27.799560 0.6800 0.6688 1.3269 0.1736 1.7066 0.1496 711.6543 679.8510
30763 GOODS-S 53.135260 -27.799560 0.6900 0.5842 1.3242 0.4018 1.8115 0.4140 763.5580 318.5750
31086 GOODS-S 53.135260 -27.799560 0.8500 0.8257 1.0939 0.2818 1.1796 0.2191 742.2376 684.8133
31325 GOODS-S 53.135260 -27.799560 0.6700 0.6057 1.1257 0.2237 1.4561 0.1976 482.7805 243.4960
31736 GOODS-S 53.135260 -27.799560 0.9100 0.8604 0.9006 0.6450 1.1800 0.5762 251.3127 232.9308
31861 GOODS-S 53.135260 -27.799560 0.6800 0.5849 1.2077 0.3209 1.5840 0.3037 551.8842 257.0754
31899 GOODS-S 53.135260 -27.799560 1.1600 1.1315 1.2051 0.1505 1.3578 0.1269 1026.3484 995.4850
32674 GOODS-S 53.135260 -27.799560 0.6200 0.5882 1.1793 0.1480 1.5073 0.1351 261.7869 190.8031
32905 GOODS-S 53.135260 -27.799560 0.9600 0.9215 0.9781 0.2335 0.9078 0.1577 936.7020 808.7249
33247 GOODS-S 53.135260 -27.799560 0.7900 1.1088 1.4090 2.1374 1.5876 1.6779 306.8899 234.2210
33734 GOODS-S 53.135260 -27.799560 0.7900 0.7983 1.3483 0.5131 1.4771 0.4065 298.8976 293.5418
33944 GOODS-N 53.135260 -27.799560 0.7000 0.5086 inf inf inf inf 1144.6806 933.1438
34128 GOODS-S 53.135260 -27.799560 0.7300 0.6320 1.4394 0.2638 1.2682 0.1603 1022.6773 630.7474
34243 GOODS-S 53.135260 -27.799560 0.7100 0.6337 1.2762 0.6226 1.4814 0.5091 293.3601 224.2952
34427 GOODS-N 53.135260 -27.799560 0.8900 0.8529 1.1091 0.2015 1.0997 0.1419 794.4946 742.9099
34457 GOODS-S 53.135260 -27.799560 0.7900 0.7979 1.1156 0.1712 1.2879 0.1466 836.6893 826.3580
34803 GOODS-S 53.135260 -27.799560 0.6500 0.6176 1.1048 0.1938 1.4304 0.1759 598.5211 524.5368
34821 GOODS-S 53.135260 -27.799560 1.0400 1.0264 1.0769 0.1653 1.1113 0.1204 1024.3116 1002.5017
35156 GOODS-N 53.135260 -27.799560 1.2000 1.1710 1.4201 0.2437 1.4287 0.1776 1075.1746 1074.5904
35475 GOODS-S 53.135260 -27.799560 1.2300 1.2300 1.4813 0.3891 1.3780 0.2615 905.8917 905.8917
35589 GOODS-S 53.135260 -27.799560 0.8100 0.7292 1.5565 1.4427 1.8733 1.2806 281.0719 273.5195
35692 GOODS-S 53.135260 -27.799560 0.9400 0.9143 0.9975 0.5381 0.9246 0.4292 329.2239 313.5323
35783 GOODS-S 53.135260 -27.799560 0.6300 0.6938 1.5155 3.1338 1.4785 2.0710 224.3219 218.1503
35878 GOODS-S 53.135260 -27.799560 0.6400 0.5669 1.0685 0.1492 1.8583 0.2076 1825.1077 818.6859
35929 GOODS-S 53.135260 -27.799560 0.7700 0.6697 1.4470 0.8183 1.3704 0.5981 835.3801 747.7042
35989 GOODS-S 53.135260 -27.799560 0.7400 0.6519 1.9217 1.0068 1.6520 0.6391 421.9203 274.7210
36001 GOODS-S 53.135260 -27.799560 0.9300 0.8321 1.1248 0.3481 1.0942 0.2575 696.8356 404.2180
36105 GOODS-N 53.135260 -27.799560 0.9100 0.9249 1.4983 0.2620 1.6490 0.2074 364.1821 222.4106
36110 GOODS-S 53.135260 -27.799560 0.6200 0.5987 1.1327 0.2814 1.4303 0.2617 223.1266 188.7722
36121 GOODS-S 53.135260 -27.799560 0.7800 0.7800 1.7488 0.2130 1.7354 0.1471 280.3510 280.3510
36143 GOODS-S 53.135260 -27.799560 0.7800 0.7800 1.3023 0.2314 1.1530 0.1424 606.2248 606.2248
36213 GOODS-S 53.135260 -27.799560 0.9100 0.6557 1.9679 5.3547 1.2864 2.1425 381.9031 360.5175
36639 GOODS-N 53.135260 -27.799560 0.8800 0.9223 1.1674 0.1997 1.2496 0.1577 398.2154 349.2351
36842 GOODS-N 53.135260 -27.799560 0.9100 0.9512 1.1637 0.2055 1.1671 0.1541 939.9197 817.4363
36944 GOODS-N 53.135260 -27.799560 0.8400 0.8400 1.1233 0.1349 1.2562 0.1106 1468.9882 1468.9882
36989 GOODS-N 53.135260 -27.799560 0.8600 0.8235 1.6751 0.6846 1.7085 0.4895 301.8366 255.1633
37044 GOODS-N 53.135260 -27.799560 1.2300 1.2154 1.6193 0.4672 1.8211 0.3869 588.9060 581.0992
37225 GOODS-N 53.135260 -27.799560 0.6600 0.5960 1.1035 0.2271 1.4516 0.2169 420.4986 272.1905
37429 GOODS-S 53.135260 -27.799560 0.7800 0.7564 1.6630 0.2470 1.5907 0.1635 339.3630 292.2331
37670 GOODS-N 53.135260 -27.799560 0.9200 0.9433 1.1698 2.0868 1.7762 2.8093 261.3260 258.3829
37959 GOODS-S 53.135260 -27.799560 0.9000 0.9000 1.3512 1.2326 1.3385 0.8148 321.1319 321.1319
38345 GOODS-N 53.135260 -27.799560 1.1300 1.1871 0.8467 0.6789 1.3237 0.8077 327.7312 286.4608
38350 GOODS-S 53.135260 -27.799560 0.7800 0.7682 1.3999 0.1859 1.2170 0.1119 1459.2896 1433.1038
38417 GOODS-S 53.135260 -27.799560 0.7900 0.7900 1.0592 0.2715 1.1942 0.2250 485.0622 485.0622
38445 GOODS-N 53.135260 -27.799560 0.5600 0.5496 1.4951 0.5557 3.3249 1.0922 176.2900 176.2866
38744 GOODS-S 53.135260 -27.799560 0.6800 0.6364 1.8615 2.1448 2.1114 1.7034 211.2240 198.9318
38854 GOODS-S 53.135260 -27.799560 0.6600 0.6168 1.2318 0.2883 1.5282 0.2473 394.9275 274.2181
39487 GOODS-N 53.135260 -27.799560 0.9600 0.9470 1.1365 0.2495 1.1675 0.1875 614.6267 609.1959
39503 GOODS-S 53.135260 -27.799560 0.8500 0.9194 1.2351 0.2026 1.3639 0.1690 430.6719 352.2005
39728 GOODS-N 53.135260 -27.799560 0.7700 0.7700 1.4261 0.3321 1.3541 0.2191 281.4251 281.4251
39835 GOODS-S 53.135260 -27.799560 1.1300 1.1020 1.1968 0.2281 1.3972 0.1995 740.6445 671.3893
40004 GOODS-N 53.135260 -27.799560 0.9100 0.9122 1.4543 0.8720 1.4508 0.6538 287.9628 281.9069
40286 GOODS-S 53.135260 -27.799560 0.8600 0.7769 1.1892 1.0774 1.2593 0.8783 228.9605 201.1428
40488 GOODS-S 53.135260 -27.799560 0.6700 0.6057 1.0968 0.2296 1.4501 0.2036 730.9359 423.4940
40991 GOODS-N 53.135260 -27.799560 0.9900 1.0057 1.4118 0.1495 1.7860 0.1319 1178.8454 915.3065
41031 GOODS-N 53.135260 -27.799560 0.8300 0.8695 1.6296 1.4310 2.1168 1.3809 724.0266 705.2008
41064 GOODS-N 53.135260 -27.799560 0.7900 0.6371 1.0394 0.5300 1.1618 0.4652 297.4346 211.7789
41075 GOODS-S 53.135260 -27.799560 0.7100 0.6765 0.9250 0.3984 1.0965 0.3115 457.8160 397.5271
41327 GOODS-S 53.135260 -27.799560 0.9100 0.4465 nan nan inf inf 1939.8877 645.5099
41338 GOODS-S 53.135260 -27.799560 0.7600 0.6922 1.2268 0.8416 1.0898 0.4753 472.3973 429.3098
41388 GOODS-N 53.135260 -27.799560 0.9900 0.9920 1.3423 0.2752 1.7951 0.2483 290.0372 287.6035
41478 GOODS-S 53.135260 -27.799560 1.1300 1.1300 1.3043 0.2055 1.4244 0.1722 350.5945 350.5945
41499 GOODS-N 53.135260 -27.799560 0.8300 0.7483 1.8642 4.6341 1.4424 1.9658 166.0170 162.6699
41630 GOODS-N 53.135260 -27.799560 1.1800 1.0827 1.3836 0.3844 1.3984 0.2871 819.4616 647.2075
41913 GOODS-N 53.135260 -27.799560 1.1000 1.1582 1.0432 0.2139 1.2980 0.2002 300.4392 176.6842
42022 GOODS-S 53.135260 -27.799560 0.7100 0.6656 1.2048 0.5597 1.4533 0.4290 3859.2346 3622.1503
42277 GOODS-S 53.135260 -27.799560 0.9000 0.8875 1.3590 0.3518 1.3161 0.2509 250.9215 231.9956
42395 GOODS-S 53.135260 -27.799560 0.9100 0.8973 1.0909 0.3510 1.2438 0.2821 346.9326 343.7258
42526 GOODS-N 53.135260 -27.799560 0.7500 0.3959 nan nan nan nan 550.1169 299.7464
43478 GOODS-S 53.135260 -27.799560 0.8400 0.8158 1.0845 0.1490 1.1827 0.1203 489.3886 424.6498
43618 GOODS-N 53.135260 -27.799560 0.7400 0.7582 1.7050 0.1756 1.6076 0.1150 656.9235 541.2929
43758 GOODS-S 53.135260 -27.799560 1.2600 1.3067 1.5709 0.4264 0.5416 0.1554 351.5471 304.7645
43909 GOODS-S 53.135260 -27.799560 0.8700 0.7640 1.2473 1.3869 1.0791 0.8898 213.2290 193.2722
44001 GOODS-N 53.135260 -27.799560 0.8800 1.1253 1.3049 0.7191 1.2863 0.5545 285.8369 234.1041
44060 GOODS-N 53.135260 -27.799560 0.9900 0.7251 2.5788 7.6503 4.2447 12.9548 194.7737 188.2777
