#   PearsID  Field  RA  DEC  zspec  zp_minchi2  zspz_minchi2  zg_minchi2  zp  zspz  zg  zp_zerr_low  zp_zerr_up  zspz_zerr_low  zspz_zerr_up  zg_zerr_low  zg_zerr_up  zp_min_chi2  zspz_min_chi2  zg_min_chi2  zp_bestalpha  zspz_bestalpha  zg_bestalpha  zp_model_idx  zspz_model_idx  zg_model_idx  zp_age  zp_tau  zp_av  zspz_age  zspz_tau  zspz_av  zg_age  zg_tau  zg_av  zp_template_ms  zp_ms  zp_uv  zp_vj
33945 GOODS-N 189.1862170 62.175553 -99.0000 3.35 -99.00 -99.00 3.31 -99.00 -99.00 3.35 3.36 -99.00 -99.00 -99.00 -99.00 64.07 -99.00 -99.00 9.200e+13 -9.900e+01 -9.900e+01 13038 -99 -99 7.020e+00 6.310e+01 0.74 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0002 1.465e+10 -0.7510 0.8447
26160 GOODS-S 53.1793150 -27.892036 -99.0000 0.70 -99.00 -99.00 0.75 -99.00 -99.00 0.67 0.72 -99.00 -99.00 -99.00 -99.00 1.30 -99.00 -99.00 4.130e+09 -9.900e+01 -9.900e+01 2037 -99 -99 9.210e+00 6.310e-01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6753 2.786e+09 -0.4839 1.4460
56663 GOODS-N 189.1857920 62.217938 -99.0000 0.48 -99.00 -99.00 0.49 -99.00 -99.00 0.46 0.53 -99.00 -99.00 -99.00 -99.00 70.77 -99.00 -99.00 1.260e+11 -9.900e+01 -9.900e+01 37001 -99 -99 9.890e+00 3.980e+00 2.58 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5699 7.179e+10 -0.4796 2.2204
47008 GOODS-N 189.1531450 62.198917 0.5560 0.51 -99.00 -99.00 0.50 -99.00 -99.00 0.48 0.52 -99.00 -99.00 -99.00 -99.00 152.74 -99.00 -99.00 6.320e+10 -9.900e+01 -9.900e+01 24703 -99 -99 9.920e+00 3.980e+00 1.66 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5781 3.653e+10 -0.4911 2.1002
32497 GOODS-N 189.1665810 62.174797 -99.0000 0.93 -99.00 -99.00 0.90 -99.00 -99.00 0.93 0.94 -99.00 -99.00 -99.00 -99.00 36.58 -99.00 -99.00 1.550e+11 -9.900e+01 -9.900e+01 29104 -99 -99 9.340e+00 6.310e-01 2.03 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6904 1.068e+11 -0.4441 1.9688
36418 GOODS-N 189.1941820 62.180293 0.9400 5.54 -99.00 -99.00 5.42 -99.00 -99.00 5.52 5.55 -99.00 -99.00 -99.00 -99.00 24.26 -99.00 -99.00 1.560e+13 -9.900e+01 -9.900e+01 9043 -99 -99 8.960e+00 1.580e-01 0.55 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7449 1.162e+13 -0.2924 1.4306
104850 GOODS-S 53.1249570 -27.734674 0.0760 1.94 -99.00 -99.00 nan -99.00 -99.00 1.94 1.94 -99.00 -99.00 -99.00 -99.00 47315.06 -99.00 -99.00 2.950e+16 -9.900e+01 -9.900e+01 30258 -99 -99 7.020e+00 6.310e+01 2.03 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0002 4.694e+12 -0.7599 1.5065
61540 GOODS-N 189.1686670 62.223074 -99.0000 0.55 -99.00 -99.00 0.56 -99.00 -99.00 0.53 0.58 -99.00 -99.00 -99.00 -99.00 0.98 -99.00 -99.00 2.390e+09 -9.900e+01 -9.900e+01 36465 -99 -99 8.610e+00 6.310e-01 2.58 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.3796 9.074e+08 -0.4385 1.5031
83735 GOODS-S 53.1782290 -27.783074 1.1230 1.04 -99.00 -99.00 1.06 -99.00 -99.00 1.02 1.05 -99.00 -99.00 -99.00 -99.00 6.18 -99.00 -99.00 2.890e+10 -9.900e+01 -9.900e+01 4997 -99 -99 9.360e+00 3.980e+00 0.18 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.3198 9.253e+09 -0.5253 1.3827
81136 GOODS-S 53.1939280 -27.785801 0.1280 0.09 -99.00 -99.00 0.09 -99.00 -99.00 0.08 0.09 -99.00 -99.00 -99.00 -99.00 14.27 -99.00 -99.00 1.560e+09 -9.900e+01 -9.900e+01 2696 -99 -99 1.000e+01 6.310e+00 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5339 8.329e+08 -0.5710 1.8244
95625 GOODS-S 53.1295180 -27.760333 0.5230 0.43 -99.00 -99.00 0.46 -99.00 -99.00 0.43 0.46 -99.00 -99.00 -99.00 -99.00 17.56 -99.00 -99.00 1.940e+10 -9.900e+01 -9.900e+01 7089 -99 -99 9.380e+00 1.000e+00 0.37 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6492 1.256e+10 -0.4998 1.6261
80966 GOODS-N 189.2191000 62.258107 -99.0000 0.98 -99.00 -99.00 0.99 -99.00 -99.00 0.97 0.99 -99.00 -99.00 -99.00 -99.00 17.72 -99.00 -99.00 4.310e+10 -9.900e+01 -9.900e+01 2894 -99 -99 9.010e+00 1.580e+01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0477 2.057e+09 -0.5188 1.1014
