#   PearsID  Field  RA  DEC  zspec  zp_minchi2  zspz_minchi2  zg_minchi2  zp  zspz  zg  zp_zerr_low  zp_zerr_up  zspz_zerr_low  zspz_zerr_up  zg_zerr_low  zg_zerr_up  zp_min_chi2  zspz_min_chi2  zg_min_chi2  zp_bestalpha  zspz_bestalpha  zg_bestalpha  zp_model_idx  zspz_model_idx  zg_model_idx  zp_age  zp_tau  zp_av  zspz_age  zspz_tau  zspz_av  zg_age  zg_tau  zg_av  zp_template_ms  zp_ms  zp_sfr  zp_uv  zp_vj  zspz_template_ms  zspz_ms  zspz_sfr  zspz_uv  zspz_vj  zg_template_ms  zg_ms  zg_sfr  zg_uv  zg_vj  figs_id  figs_field  figs_ra  figs_dec  ur_col
90601  GOODS-S  53.1857137  -27.772216  -99.  0.42  -99.  -99.  0.42  -99.  -99.  0.41  0.43  -99.  -99.  -99.  -99.  23.69  -99.  -99.  5.73e+09  -99.  -99.  475  -99  -99  9.95  -99.  -91.16  -99.  -99.  -99.  -99.  -99.  -99.  0.3899  2.235e+09  0.  0.6538  1.3884  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1136  GS1  53.1857320  -27.772232  1.657
96270  GOODS-S  53.1573543  -27.762226  -99.  1.06  -99.  -99.  0.55  -99.  -99.  0.96  1.23  -99.  -99.  -99.  -99.  1.22  -99.  -99.  3.58e+08  -99.  -99.  420  -99  -99  8.31  -99.  -91.16  -99.  -99.  -99.  -99.  -99.  -99.  0.6508  2.332e+08  0.  -0.0388  0.6081  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  799  GS1  53.1573670  -27.762254  0.707
83499  GOODS-N  189.197312  62.274485  0.871  0.81  -99.  -99.  0.82  -99.  -99.  0.81  0.81  -99.  -99.  -99.  -99.  34.64  -99.  -99.  9.98e+10  -99.  -99.  683  -99  -99  9.16  -99.  -91.16  -99.  -99.  -99.  -99.  -99.  -99.  0.5406  5.394e+10  0.  1.2179  2.0393  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  2497  GN1  189.1973470  62.274475  2.265
86077  GOODS-S  53.1963819  -27.779  1.185  1.22  -99.  -99.  1.2  -99.  -99.  1.14  1.26  -99.  -99.  -99.  -99.  23.28  -99.  -99.  4.08e+10  -99.  -99.  806  -99  -99  9.16  -99.  -91.16  -99.  -99.  -99.  -99.  -99.  -99.  0.4676  1.908e+10  0.  1.2047  2.6579  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1589  GS1  53.1963740  -27.778992  2.283
99370  GOODS-N  189.1864039  62.292415  -99.  1.65  -99.  -99.  1.68  -99.  -99.  1.57  1.81  -99.  -99.  -99.  -99.  0.6  -99.  -99.  3.16e+09  -99.  -99.  15666  -99  -99  8.01  0.01  1.1  -99.  -99.  -99.  -99.  -99.  -99.  0.7244  2.287e+09  0.  -0.0948  1.1287  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1712  GN1  189.1864070  62.292411  0.683
106899  GOODS-N  189.3276212  62.304319  -99.  2.59  -99.  -99.  2.37  -99.  -99.  2.32  3.27  -99.  -99.  -99.  -99.  0.22  -99.  -99.  2.08e+09  -99.  -99.  23290  -99  -99  7.91  0.0251  1.66  -99.  -99.  -99.  -99.  -99.  -99.  0.7278  1.513e+09  0.  -0.1693  1.3407  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  4095  GN2  189.3275770  62.304317  0.636
102194  GOODS-N  189.350706  62.29619  -99.  2.06  -99.  -99.  1.71  -99.  -99.  1.91  2.17  -99.  -99.  -99.  -99.  0.64  -99.  -99.  1.69e+09  -99.  -99.  5828  -99  -99  8.11  0.01  0.37  -99.  -99.  -99.  -99.  -99.  -99.  0.7049  1.188e+09  0.  -0.1256  1.0308  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1091  GN2  189.3507100  62.296175  0.619
113700  GOODS-N  189.4055414  62.315743  -99.  1.01  -99.  -99.  1.02  -99.  -99.  0.97  1.03  -99.  -99.  -99.  -99.  2.3  -99.  -99.  5.36e+09  -99.  -99.  2166  -99  -99  9.32  1.  0.  -99.  -99.  -99.  -99.  -99.  -99.  0.4971  2.662e+09  0.  0.2684  1.4673  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  659  GN2  189.4055530  62.315742  1.132
96240  GOODS-N  189.1536365  62.286242  -99.  0.49  -99.  -99.  2.33  -99.  -99.  0.01  0.62  -99.  -99.  -99.  -99.  0.87  -99.  -99.  41600000.  -99.  -99.  298  -99  -99  8.36  -99.  -91.16  -99.  -99.  -99.  -99.  -99.  -99.  0.6523  27120000.  0.  0.0978  0.9062  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1977  GN1  189.1536200  62.286248  0.869
108321  GOODS-N  189.3584358  62.307488  -99.  0.84  -99.  -99.  0.82  -99.  -99.  0.72  0.92  -99.  -99.  -99.  -99.  5.06  -99.  -99.  3.66e+09  -99.  -99.  2285  -99  -99  9.23  1.58  0.  -99.  -99.  -99.  -99.  -99.  -99.  0.3902  1.426e+09  0.  0.046  1.3022  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  841  GN2  189.3584400  62.307499  0.853
