# Catalog for all galaxies that matched between 3DHST and FIGS within 1.2<z<1.8 for gn2. 
# figs_id redshift ra dec dn4000 dn4000_err d4000 d4000_err
331 1.448 189.396714 62.333614 nan nan nan nan
370 1.495 189.354859 62.331745 nan nan nan nan
389 1.654 189.401184 62.330803 nan nan nan nan
395 1.600 189.392487 62.330566 0.0000 0.0000 0.0000 0.0000
398 1.539 189.392639 62.330395 0.0548 0.0000 0.0000 0.0000
399 1.657 189.355255 62.330421 1.5426 0.0000 3.3796 0.0000
409 1.526 189.358872 62.329773 0.0501 0.0000 0.4324 0.0000
435 1.668 189.404099 62.327831 nan nan nan nan
458 1.615 189.361069 62.327019 1.1013 1.9387 1.3271 2.6033
465 1.412 189.395523 62.326691 1.0543 1.4404 0.9414 0.9335
467 1.633 189.413559 62.326649 nan nan -inf nan
468 1.712 189.345688 62.326603 1.3831 0.0000 1.2969 0.0000
471 1.607 189.359268 62.326389 0.8450 1.7824 0.6982 0.8497
474 1.211 189.384812 62.326118 0.1615 1.5934 0.5662 2.3084
476 1.468 189.364060 62.326046 0.7268 3.5794 0.6359 1.8763
486 1.602 189.404679 62.325500 1.9870 22.6351 1.4086 4.6702
497 1.752 189.417832 62.324326 -3.2339 0.0000 4.6485 0.0000
499 1.209 189.404724 62.324131 0.1973 3.9900 -1.9817 9.3113
516 1.627 189.360764 62.323429 0.9471 8.2487 1.1506 8.1714
525 1.701 189.394181 62.323063 1.1164 3.8607 1.0998 3.1720
529 1.235 189.391037 62.322956 1.7931 13.8680 3.3223 18.2310
544 1.267 189.414002 62.321995 0.8242 0.0000 1.2591 0.0000
556 1.448 189.378159 62.321609 0.8388 2.2950 1.1391 2.3043
566 1.518 189.389160 62.321209 0.8905 1.9267 0.8563 1.4038
575 1.538 189.357498 62.320595 1.2541 0.5715 1.3769 0.4873
581 1.744 189.340271 62.320389 nan nan nan nan
586 1.325 189.388657 62.319927 1.0838 2.1391 1.1412 1.3644
595 1.257 189.351136 62.319706 0.6956 1.2148 0.9663 1.0170
598 1.605 189.369828 62.319496 1.0702 1.6400 1.2869 1.4379
601 1.587 189.372193 62.319206 1.9922 20.5811 0.9792 5.7489
625 1.610 189.379227 62.318008 1.2035 2.3656 1.1768 1.8371
626 1.619 189.380539 62.318027 0.9888 2.4777 1.2379 3.2555
635 1.618 189.334900 62.317375 0.8955 0.0000 0.8959 0.0000
637 1.786 189.350174 62.317272 1.0855 2.5713 0.4393 1.1736
641 1.759 189.349991 62.316982 15.6777 559.2162 0.8347 5.2818
644 1.599 189.360535 62.316505 1.2755 1.6012 1.4475 1.1728
647 1.544 189.361649 62.316349 1.1603 1.6056 1.2692 1.1553
657 1.603 189.358826 62.315800 1.0463 0.8855 1.2140 0.5945
670 1.783 189.413513 62.315506 2.2412 5.7588 0.6679 1.8620
676 1.262 189.369171 62.315289 1.0331 0.9879 1.3160 1.1079
678 1.459 189.367920 62.315254 1.0913 0.7449 1.2399 0.5683
682 1.345 189.390198 62.319218 1.1661 0.9483 1.1977 0.8314
684 1.681 189.354401 62.315182 1.0516 1.3734 1.2916 2.0000
690 1.634 189.402359 62.314938 1.4329 5.5934 0.7927 1.7085
695 1.525 189.416352 62.314743 1.4515 2.1808 1.1482 0.9493
