# Catalog for all galaxies that matched between 3DHST and FIGS within 1.2<z<1.8 for gn1. 
# figs_id redshift ra dec dn4000 dn4000_err d4000 d4000_err
1897 1.361 189.197006 62.287895 0.9161 0.7710 1.0109 0.6691
1914 1.677 189.127640 62.287720 -2.4367 70.3902 -2.0251 19.3615
1915 1.605 189.127380 62.287594 0.0350 1.5217 1.1198 2.0353
1919 1.652 189.145645 62.287624 1.3604 5.7021 1.3276 3.9672
1920 1.319 189.125854 62.287601 0.5263 0.0000 0.8601 0.0000
1933 1.558 189.177017 62.287094 0.6651 2.0241 0.8131 1.9783
1942 1.752 189.144775 62.286888 0.5094 1.5340 0.5094 1.1032
1945 1.260 189.132309 62.286823 2.0991 15.5693 27.6337 1047.6741
1946 1.260 189.132309 62.286728 2.0103 12.4686 2.9857 24.7634
1973 1.639 189.145004 62.286209 0.8203 1.2570 0.9982 0.9731
1983 1.718 189.212570 62.286072 0.3221 0.6259 0.3726 0.6486
1993 1.210 189.141129 62.285969 -0.0171 12.7740 -1.6936 30.0551
2001 1.511 189.187561 62.285866 1.6800 8.0689 1.1761 3.4398
2002 1.618 189.136871 62.285793 1.0035 7.0311 1.2146 4.0007
2006 1.660 189.199158 62.287800 0.8872 3.0037 0.8829 2.1540
2017 1.720 189.155182 62.285500 0.7912 6.1412 0.5028 2.5528
2021 1.524 189.125229 62.285244 1.8694 0.0000 4.6255 0.0000
2024 1.729 189.118942 62.285282 0.0000 0.0000 0.0000 0.0000
2063 1.610 189.165298 62.284233 0.6428 27.1510 -0.3485 11.9149
2074 1.334 189.117203 62.283905 18.6398 0.0000 -2.8168 0.0000
2080 1.756 189.220474 62.283783 3.1734 0.0000 0.1593 0.0000
2099 1.397 189.172653 62.283314 1.2261 4.5542 1.2451 3.9325
2109 1.717 189.170074 62.283131 0.6825 2.8298 0.4789 1.6656
2111 1.612 189.181152 62.283157 0.4576 5.2032 0.8788 7.7558
2115 1.280 189.122955 62.282928 1.0693 0.0000 0.9809 0.0000
2118 1.383 189.155121 62.283054 -6.8886 204.8090 6.0230 174.7832
2120 1.692 189.163193 62.282940 1.1371 2.5733 0.8850 1.5408
2122 1.742 189.191269 62.282951 0.5861 2.5992 0.2770 2.9377
2133 1.692 189.122406 62.282642 23.7232 0.0000 25.3154 0.0000
2136 1.607 189.163483 62.282417 0.8611 1.2693 0.8426 1.0858
2137 1.581 189.163849 62.282345 0.8213 1.2840 1.1421 1.2830
2139 1.570 189.129425 62.282490 1.2347 2.7599 1.3330 1.7759
2146 1.488 189.209442 62.282154 1.1761 1.4137 1.2231 0.9835
2158 1.412 189.175125 62.282253 0.8868 7.0981 2.0066 12.9053
2163 1.700 189.161560 62.281940 0.8582 3.4915 1.3069 4.2153
2182 1.681 189.161682 62.281696 2.7435 27.6981 2.2855 13.2734
2191 1.562 189.204132 62.281467 0.6264 2.7385 0.6026 2.1047
2194 1.483 189.211533 62.281414 1.0337 2.3923 1.2097 2.1562
2197 1.214 189.143539 62.281315 1.0083 3.2591 1.7841 5.2529
2202 1.720 189.139084 62.281235 2.3140 16.7825 1.3412 5.5870
2218 1.274 189.188950 62.280785 1.0557 5.9865 0.7259 3.0970
2247 1.375 189.193619 62.280125 0.4286 10.1812 1.8058 53.8890
2277 1.646 189.157883 62.279232 1.4787 2.4557 1.6123 1.6482
2288 1.661 189.119812 62.279175 inf nan inf nan
2291 1.243 189.191528 62.278961 0.7601 1.1660 1.1752 1.3417
2348 1.383 189.170258 62.277912 5.2385 316.1375 2.1335 39.0290
2350 1.423 189.198288 62.277798 1.2867 2.1209 1.4084 1.6388
2353 1.693 189.163361 62.277859 0.8657 7.4159 2.3202 15.4387
2359 1.738 189.205063 62.277702 8.8898 86.2772 -0.4142 4.7226
2379 1.464 189.134689 62.277000 -1.2105 0.0000 0.2093 0.0000
2383 1.627 189.210938 62.277180 -0.1023 0.0000 0.6187 0.0000
2390 1.606 189.143677 62.277008 0.6191 4.7009 0.0956 4.1667
2405 1.235 189.181259 62.276707 0.5108 4.1270 1.2368 7.8841
2407 1.585 189.182800 62.276630 0.8058 7.5411 2.6567 14.4973
2408 1.779 189.158051 62.276562 1.7457 11.0587 0.5341 4.0426
2417 1.583 189.188232 62.276451 0.9901 2.8867 1.3314 2.8837
2442 1.306 189.181519 62.276058 1.6979 120.2485 -9.4734 507.9630
2449 1.575 189.181458 62.275795 0.9181 0.5301 0.9663 0.4321
2474 1.683 189.159927 62.275341 1.1535 2.9387 2.1304 3.9042
2479 1.348 189.166428 62.275253 0.3386 14.4553 -0.0946 10.6242
2488 1.738 189.150543 62.275051 1.2115 3.4249 0.9652 3.1550
2489 1.660 189.177338 62.274918 1.1686 0.8470 1.1829 0.6068
2503 1.668 189.208542 62.274853 nan nan -0.0000 0.0000
2516 1.569 189.165985 62.274651 1.6064 12.3076 0.6032 8.1795
2528 1.359 189.147598 62.274506 2.4735 75.1966 2.5764 43.9989
2533 1.570 189.206451 62.274452 -0.0000 0.0000 0.0000 0.0000
2538 1.447 189.181335 62.273510 1.1238 0.2947 1.1621 0.2661
2543 1.730 189.171219 62.274223 1.5926 3.5676 1.3188 2.1852
2548 1.556 189.183838 62.274170 1.1935 3.8079 1.0017 1.6637
2569 1.472 189.214478 62.273830 nan nan nan nan
2574 1.516 189.204834 62.273651 0.0000 0.0000 0.0000 0.0000
2583 1.326 189.152634 62.273636 1.7540 14.5132 3.2227 40.0496
2607 1.206 189.139572 62.273029 nan nan nan nan
2614 1.310 189.197983 62.272907 1.4231 3.0412 1.4159 2.1557
2650 1.799 189.172333 62.272335 0.7129 5.3489 0.3896 2.7929
2685 1.588 189.152985 62.271694 -0.0118 23.8915 1.1400 4.7674
2691 1.471 189.155441 62.271568 1.2733 9.9646 1.2149 5.5960
2713 1.452 189.188126 62.270935 0.9723 1.9348 1.2315 1.6879
2728 1.341 189.141754 62.270729 2.5632 0.0000 2.4506 0.0000
2733 1.642 189.160080 62.270489 1.6751 3.5172 1.0554 1.8495
2736 1.720 189.163071 62.270473 3.7717 15.2187 1.1447 6.2182
2744 1.649 189.191406 62.270214 1.0172 0.0000 1.2105 0.0000
2769 1.434 189.172867 62.269665 0.4819 1.7449 0.3264 1.7147
2781 1.471 189.154099 62.269497 -1.2065 1.5596 -6.1163 38.2047
2829 1.773 189.143753 62.268150 -inf nan -inf nan
2860 1.550 189.165604 62.266476 0.7480 0.0000 0.5233 0.0000
2933 1.657 189.178604 62.265865 nan nan nan nan
2972 1.554 189.168304 62.265167 0.0000 0.0000 0.0000 0.0000
5497 1.324 189.171112 62.313755 inf nan inf nan
5506 1.697 189.161224 62.313641 2.5535 0.0000 4.2365 11.9622
5518 1.657 189.168777 62.313541 0.1082 1.8671 -0.1310 0.6042
5519 1.537 189.175186 62.313511 2.3399 12.2555 0.8157 1.1519
5525 1.422 189.164215 62.313461 0.8484 0.0000 0.8395 0.0000
5588 1.726 189.183960 62.312771 -inf nan -inf nan
5777 1.703 189.198181 62.310612 -31.1853 0.0000 27.6419 0.0000
5955 1.550 189.138214 62.308922 nan nan -inf nan
6013 1.338 189.139923 62.308372 nan nan nan nan
6045 1.502 189.169434 62.308109 1.1408 5.5693 1.0705 5.1476
6048 1.624 189.131393 62.308037 inf nan inf nan
6063 1.372 189.134460 62.307880 nan nan nan nan
6106 1.619 189.180893 62.307400 -0.4147 8.1858 -0.1382 10.5041
6167 1.681 189.181488 62.306648 -0.2446 8.1306 -0.2957 6.3355
6240 1.361 189.172318 62.305721 -0.7434 12.0769 -0.2149 5.1286
6261 1.322 189.159348 62.305523 0.5903 2.8800 0.7874 3.3701
6381 1.384 189.154175 62.304405 5.0518 193.8128 1.4106 11.7871
6413 1.576 189.154449 62.304146 5.9913 205.4266 -0.1991 6.3373
6444 1.567 189.164734 62.303673 0.4596 5.2130 0.5544 3.5310
6450 1.584 189.139862 62.303692 0.9343 4.8633 -0.1419 3.5395
6470 1.610 189.171921 62.303497 0.0150 34.4119 -0.2791 25.0950
6528 1.244 189.173096 62.302635 0.8607 7.4561 0.7121 3.2130
6537 1.285 189.197464 62.302654 1.2509 26.4702 1.8172 21.0664
6559 1.504 189.140686 62.302357 0.3472 11.4343 -1.2458 16.0758
6603 1.351 189.133179 62.301750 2.7323 0.0000 2.1298 0.0000
6642 1.347 189.129959 62.301460 nan nan nan nan
6689 1.389 189.178177 62.301743 42.0089 12657.2526 -0.1130 13.6025
6700 1.412 189.207520 62.300602 1.0387 4.5685 0.9118 3.5928
6728 1.665 189.145752 62.300285 0.0414 4.0454 0.1478 2.9479
6747 1.345 189.154236 62.300102 1.8451 27.4668 0.6272 8.5743
6763 1.650 189.169479 62.299919 45.6335 20160.0320 0.1990 19.2536
6765 1.754 189.189423 62.299904 1.4790 18.1946 -0.2919 8.5975
6773 1.616 189.170639 62.299812 1.8283 24.4524 0.0421 6.5180
