# The PEARS id is given here as only an integer.
# The user must figure out if it is part of northern or southern fields.
# pearsid field pearsra pearsdec urcol mstar threedid threedzphot
92233 GOODS-N 189.180716 62.278367 1.31 9.32 27709 0.88
92535 GOODS-N 189.176764 62.279170 1.53 9.81 27744 0.83
93012 GOODS-N 189.174989 62.280006 1.00 9.24 27945 0.92
92509 GOODS-N 189.168143 62.279760 1.10 9.12 27956 1.04
92859 GOODS-N 189.166959 62.281250 1.49 9.71 27998 0.89
93154 GOODS-N 189.187088 62.279851 1.00 8.19 28027 0.69
93137 GOODS-N 189.179476 62.280171 1.29 9.10 28053 0.80
93208 GOODS-N 189.165516 62.280172 0.86 8.81 28054 0.90
93405 GOODS-N 189.170383 62.280492 1.09 8.74 28070 0.73
93394 GOODS-N 189.164672 62.280685 1.36 8.86 28105 0.89
93602 GOODS-N 189.167298 62.282149 1.89 10.57 28149 0.94
93719 GOODS-N 189.178245 62.280924 1.06 8.53 28163 0.81
93968 GOODS-N 189.161900 62.281338 0.70 8.22 28297 0.79
94073 GOODS-N 189.203800 62.281809 0.85 8.83 28365 0.87
94234 GOODS-N 189.162581 62.281739 0.63 7.75 28425 0.72
94262 GOODS-N 189.174482 62.282598 1.14 9.44 28457 0.87
94364 GOODS-N 189.208862 62.282272 0.99 8.06 28494 0.77
84077 GOODS-N 189.308578 62.263693 0.75 9.11 24844 0.94
84577 GOODS-N 189.334456 62.263853 1.96 9.34 24856 0.90
84551 GOODS-N 189.331113 62.263870 2.17 9.53 24863 0.81
83999 GOODS-N 189.327918 62.263881 1.70 9.83 24928 0.89
85141 GOODS-N 189.311712 62.264690 2.11 8.73 24965 0.61
85100 GOODS-N 189.310033 62.264763 1.32 9.01 25024 1.02
85410 GOODS-N 189.317652 62.265229 0.85 7.90 25086 0.75
84974 GOODS-N 189.293538 62.264946 1.02 9.37 25152 0.89
84715 GOODS-N 189.323427 62.265232 1.02 8.95 25202 0.78
85399 GOODS-N 189.295897 62.266023 0.77 8.46 25384 0.87
86697 GOODS-N 189.312411 62.267779 1.09 8.39 25664 0.67
87195 GOODS-N 189.323596 62.268440 0.61 7.27 25768 0.58
88265 GOODS-N 189.318664 62.270724 1.28 8.66 26289 0.86
88171 GOODS-N 189.296938 62.270893 0.93 8.47 26359 0.74
88448 GOODS-N 189.330769 62.270967 0.94 8.17 26386 0.64
88897 GOODS-N 189.335116 62.271585 1.01 7.76 26452 0.57
88591 GOODS-N 189.326622 62.271977 0.94 9.04 26566 0.86
89509 GOODS-N 189.333179 62.272808 1.24 8.41 26750 0.56
89683 GOODS-N 189.309568 62.273093 1.00 8.24 26756 0.65
89383 GOODS-N 189.294318 62.273264 0.81 9.04 26789 1.05
88768 GOODS-N 189.334963 62.273394 1.52 9.38 26843 0.95
89877 GOODS-N 189.283422 62.273766 0.72 8.83 26922 1.06
89845 GOODS-N 189.335839 62.274894 1.42 10.03 26948 0.92
90194 GOODS-N 189.287363 62.275008 0.53 8.41 27060 0.71
90143 GOODS-N 189.329548 62.274960 1.12 9.11 27132 1.01
90557 GOODS-N 189.314376 62.275709 1.05 9.53 27158 0.84
91474 GOODS-N 189.285094 62.277525 0.75 9.55 27422 1.18
91587 GOODS-N 189.303623 62.276463 0.90 8.00 27427 0.72
91377 GOODS-N 189.318641 62.278456 2.17 10.45 27444 1.07
91612 GOODS-N 189.298341 62.277908 1.01 9.89 27472 1.19
91697 GOODS-N 189.298600 62.277425 0.79 8.70 27588 1.29
91951 GOODS-N 189.333503 62.277223 0.61 8.30 27597 0.99
91724 GOODS-N 189.338397 62.278201 0.70 8.67 27754 1.00
92450 GOODS-N 189.337579 62.278406 0.41 8.84 27812 1.06
92989 GOODS-N 189.288803 62.279596 0.81 7.78 27947 0.63
93092 GOODS-N 189.307493 62.279628 0.96 7.85 27974 0.57
92603 GOODS-N 189.313573 62.279712 0.74 8.36 27989 0.61
92316 GOODS-N 189.330950 62.280186 0.91 9.10 28014 0.95
93025 GOODS-N 189.330195 62.279772 0.87 8.60 28034 1.00
93328 GOODS-N 189.303891 62.280265 1.05 9.44 28040 1.12
93646 GOODS-N 189.289029 62.281610 0.90 8.38 28363 0.92
94085 GOODS-N 189.299922 62.283150 1.26 10.13 28379 1.03
94117 GOODS-N 189.304711 62.281773 1.04 9.09 28381 1.12
93798 GOODS-N 189.302177 62.282018 0.93 8.48 28406 0.56
94535 GOODS-N 189.292208 62.282831 0.66 8.05 28541 0.56
94458 GOODS-N 189.325445 62.282561 0.38 8.19 28586 0.86
94782 GOODS-N 189.336542 62.282978 1.20 8.82 28635 0.94
94963 GOODS-N 189.316693 62.283597 0.77 7.82 28738 0.56
95898 GOODS-N 189.331011 62.284972 1.11 9.04 28996 0.77
96352 GOODS-N 189.310909 62.285873 1.03 8.01 29195 0.68
95449 GOODS-N 189.328883 62.287190 0.84 9.35 29232 0.94
97904 GOODS-N 189.300023 62.290841 1.08 9.64 29807 0.65
98420 GOODS-N 189.330009 62.291136 1.15 9.57 30057 1.13
98209 GOODS-N 189.319484 62.292583 1.65 10.59 30204 0.73
99633 GOODS-N 189.299196 62.293301 2.16 10.41 30358 0.98
100202 GOODS-N 189.296098 62.293219 0.85 8.13 30500 0.62
100950 GOODS-N 189.318601 62.294178 0.76 8.92 30644 0.93
100857 GOODS-N 189.318669 62.294463 0.81 8.42 30665 0.92
100776 GOODS-N 189.327683 62.294091 0.74 8.11 30680 0.83
100486 GOODS-N 189.292199 62.294325 1.04 8.75 30694 0.88
100715 GOODS-N 189.309370 62.296776 1.04 9.70 30941 0.92
102160 GOODS-N 189.319077 62.296825 0.67 8.52 31129 0.88
102600 GOODS-N 189.300638 62.298343 1.90 10.63 31179 1.18
102719 GOODS-N 189.314157 62.297465 1.22 8.62 31190 0.63
102575 GOODS-N 189.328581 62.297780 0.74 8.59 31251 0.95
103192 GOODS-N 189.323615 62.298657 0.95 8.88 31388 0.91
104050 GOODS-N 189.309767 62.299668 0.84 7.76 31608 0.59
103094 GOODS-N 189.321552 62.301278 1.14 9.87 31617 0.91
104213 GOODS-N 189.325658 62.299935 0.88 8.35 31634 0.91
105168 GOODS-N 189.285044 62.302664 1.15 9.61 31957 1.24
105674 GOODS-N 189.283426 62.302317 0.80 7.76 32026 0.66
105729 GOODS-N 189.286372 62.303503 1.63 9.96 32066 1.18
105709 GOODS-N 189.305622 62.304234 0.73 9.42 32087 1.05
105902 GOODS-N 189.293019 62.303436 0.38 8.51 32166 0.74
106694 GOODS-N 189.325365 62.303858 0.82 7.68 32293 0.64
106752 GOODS-N 189.289932 62.304272 1.08 8.25 32311 0.66
108010 GOODS-N 189.302426 62.306113 0.67 8.18 32622 0.75
107999 GOODS-N 189.325159 62.306307 0.58 8.32 32645 0.91
108239 GOODS-N 189.288531 62.306639 0.85 8.31 32680 0.69
107654 GOODS-N 189.318580 62.306907 0.75 8.86 32695 1.14
107452 GOODS-N 189.302530 62.307900 1.01 8.48 32791 0.63
108721 GOODS-N 189.325772 62.307726 1.18 8.84 32810 0.82
108932 GOODS-N 189.305071 62.307710 1.04 8.36 32834 0.87
109170 GOODS-N 189.295689 62.309360 2.30 9.84 32934 0.57
109561 GOODS-N 189.283580 62.308539 1.02 8.21 32959 0.65
109801 GOODS-N 189.289007 62.309933 1.06 9.25 33081 0.82
110223 GOODS-N 189.312857 62.310475 0.96 8.54 33124 0.72
110440 GOODS-N 189.318388 62.310203 0.53 7.39 33194 0.59
110708 GOODS-N 189.292204 62.310612 1.01 8.96 33225 0.98
110464 GOODS-N 189.309623 62.311061 0.82 7.98 33276 0.59
110688 GOODS-N 189.320459 62.311466 1.32 9.40 33292 0.88
111351 GOODS-N 189.288995 62.311565 1.24 8.64 33357 0.80
111054 GOODS-N 189.309077 62.311912 0.43 8.33 33372 1.23
112235 GOODS-N 189.306559 62.313441 0.80 9.07 33554 1.19
112301 GOODS-N 189.335860 62.313349 0.75 8.71 33605 1.05
112486 GOODS-N 189.323643 62.314013 0.82 9.10 33636 0.81
112764 GOODS-N 189.324521 62.315466 0.71 10.48 33691 1.27
112992 GOODS-N 189.313329 62.314965 0.89 9.08 33706 1.25
113162 GOODS-N 189.313546 62.314483 1.07 8.00 33758 0.59
114275 GOODS-N 189.317003 62.316902 1.03 9.46 33991 0.95
113696 GOODS-N 189.337136 62.317026 1.86 9.53 34003 0.73
115830 GOODS-N 189.293330 62.318528 1.00 8.57 34265 0.87
115636 GOODS-N 189.331296 62.319284 0.96 9.06 34343 0.95
116400 GOODS-N 189.296694 62.318985 0.67 8.53 34357 1.28
98997 GOODS-N 189.363747 62.293080 1.19 9.85 30350 0.99
100137 GOODS-N 189.368222 62.293163 1.34 8.36 30531 0.62
100435 GOODS-N 189.347847 62.293610 0.63 7.92 30566 0.98
100728 GOODS-N 189.355163 62.294250 1.29 9.04 30663 0.81
101185 GOODS-N 189.387203 62.295244 1.04 9.11 30852 0.76
102530 GOODS-N 189.364284 62.297141 1.27 9.45 31162 0.95
102547 GOODS-N 189.396648 62.297491 0.94 8.05 31268 0.69
102134 GOODS-N 189.368541 62.298175 1.11 9.34 31271 1.15
104023 GOODS-N 189.385514 62.299832 0.88 8.26 31626 0.74
104306 GOODS-N 189.351285 62.301146 1.30 9.47 31692 1.16
103443 GOODS-N 189.377820 62.301102 0.99 9.05 31800 0.83
104879 GOODS-N 189.354800 62.301078 1.12 8.62 31855 1.11
105223 GOODS-N 189.367109 62.301534 0.46 8.22 31943 1.27
105303 GOODS-N 189.391863 62.301594 0.98 8.71 31958 1.09
105461 GOODS-N 189.349878 62.302131 0.80 8.06 32009 0.64
107118 GOODS-N 189.351763 62.305239 0.98 8.33 32444 0.58
107152 GOODS-N 189.379063 62.305686 0.93 9.54 32445 0.99
107445 GOODS-N 189.400264 62.305708 1.25 8.32 32575 0.57
108321 GOODS-N 189.358436 62.307488 0.89 9.29 32752 0.88
108279 GOODS-N 189.382191 62.307138 1.20 9.24 32753 0.85
108529 GOODS-N 189.357040 62.307618 0.83 9.15 32769 1.23
108799 GOODS-N 189.380887 62.307329 1.04 8.61 32797 1.01
108448 GOODS-N 189.379386 62.308392 0.69 9.39 32824 1.15
108774 GOODS-N 189.394344 62.307670 1.07 8.63 32825 0.83
109259 GOODS-N 189.358864 62.308141 0.98 8.84 32879 1.30
108871 GOODS-N 189.354454 62.308086 0.81 8.55 32887 1.06
109867 GOODS-N 189.350040 62.309070 1.31 8.17 33030 0.60
110145 GOODS-N 189.347170 62.310208 0.67 8.75 33143 1.02
110403 GOODS-N 189.387876 62.310047 0.95 8.85 33165 0.95
110595 GOODS-N 189.373632 62.310245 0.87 8.74 33196 0.92
110441 GOODS-N 189.349499 62.311884 1.14 8.80 33267 0.57
110727 GOODS-N 189.382732 62.311504 0.68 9.49 33290 1.05
111096 GOODS-N 189.402014 62.311500 0.84 9.01 33343 1.02
111648 GOODS-N 189.353802 62.312340 0.82 9.62 33401 1.21
112100 GOODS-N 189.398654 62.313032 0.82 8.39 33546 0.67
112264 GOODS-N 189.356308 62.313002 1.17 8.08 33572 0.73
112383 GOODS-N 189.351594 62.313706 1.01 8.67 33598 0.62
113191 GOODS-N 189.369178 62.315288 1.01 9.57 33803 1.26
113600 GOODS-N 189.364485 62.315157 1.28 9.32 33834 1.18
113595 GOODS-N 189.346977 62.314906 0.77 7.73 33835 0.61
113506 GOODS-N 189.353266 62.315296 1.03 8.65 33862 0.84
113746 GOODS-N 189.353757 62.315995 1.22 9.10 33911 0.74
116236 GOODS-N 189.351141 62.319717 0.86 9.44 34390 1.26
114628 GOODS-N 189.397163 62.321637 1.96 10.85 34410 0.82
116527 GOODS-N 189.360785 62.319904 0.81 8.88 34415 0.84
116889 GOODS-N 189.382286 62.320526 0.99 7.98 34536 0.58
117715 GOODS-N 189.400004 62.322069 1.18 9.26 34667 0.99
117825 GOODS-N 189.395781 62.323567 1.17 9.60 34734 0.63
117847 GOODS-N 189.375144 62.322488 0.95 9.15 34741 0.88
118148 GOODS-N 189.387321 62.323195 0.97 9.45 34769 0.91
118319 GOODS-N 189.391010 62.322760 1.25 9.07 34815 1.15
118394 GOODS-N 189.370367 62.323229 1.01 8.71 34839 0.88
118335 GOODS-N 189.391052 62.322949 0.97 9.00 34848 1.23
118534 GOODS-N 189.370514 62.323430 0.46 8.58 34875 0.99
119191 GOODS-N 189.388569 62.326688 2.01 10.65 35099 1.02
118864 GOODS-N 189.384842 62.326115 0.89 8.94 35158 1.21
119684 GOODS-N 189.350429 62.326819 0.92 9.08 35248 1.06
119723 GOODS-N 189.350411 62.327519 1.01 9.45 35252 0.80
119616 GOODS-N 189.363144 62.327969 1.06 9.34 35281 1.03
119879 GOODS-N 189.359991 62.329089 2.34 11.11 35299 1.05
119672 GOODS-N 189.384479 62.327849 0.92 7.83 35402 0.59
120498 GOODS-N 189.397403 62.329535 2.21 10.59 35493 1.18
120572 GOODS-N 189.376583 62.328790 0.91 9.03 35497 0.90
120691 GOODS-N 189.395343 62.329568 1.56 9.53 35543 1.17
120750 GOODS-N 189.389063 62.329463 0.58 8.36 35598 1.17
120710 GOODS-N 189.372563 62.329483 0.75 8.29 35609 0.89
121093 GOODS-N 189.358742 62.331625 1.32 9.29 35702 0.78
121143 GOODS-N 189.398741 62.330943 1.71 9.28 35707 0.60
121225 GOODS-N 189.364706 62.330634 0.80 8.66 35719 1.13
121635 GOODS-N 189.388910 62.331669 1.20 8.16 35825 0.64
121232 GOODS-N 189.364826 62.332437 1.18 9.39 35834 0.84
121718 GOODS-N 189.376822 62.333017 0.98 9.07 35902 0.93
121917 GOODS-N 189.349689 62.332669 1.02 8.29 35923 0.66
121834 GOODS-N 189.389070 62.333166 0.88 8.92 35941 0.96
121428 GOODS-N 189.399052 62.334827 0.58 9.07 35974 0.64
122303 GOODS-N 189.357341 62.333918 0.71 8.52 36057 1.00
122475 GOODS-N 189.386856 62.334038 0.82 8.15 36069 0.69
122616 GOODS-N 189.381705 62.335724 1.19 9.99 36104 1.16
122560 GOODS-N 189.397021 62.335577 0.87 10.06 36108 1.05
122257 GOODS-N 189.385955 62.334634 0.82 9.03 36125 1.11
122757 GOODS-N 189.354669 62.335654 0.92 9.24 36179 0.78
122855 GOODS-N 189.399077 62.335984 0.58 9.21 36180 1.06
122827 GOODS-N 189.382344 62.335492 0.44 8.82 36193 1.18
123008 GOODS-N 189.372832 62.335951 1.05 9.01 36229 1.01
123054 GOODS-N 189.376493 62.336114 0.91 8.46 36275 0.93
123269 GOODS-N 189.397371 62.336218 1.05 8.80 36281 1.12
123162 GOODS-N 189.394504 62.336962 0.85 9.41 36289 1.15
123296 GOODS-N 189.394010 62.336438 1.04 8.74 36306 0.90
123290 GOODS-N 189.398052 62.338414 1.83 10.58 36323 1.15
123504 GOODS-N 189.392071 62.337489 1.09 9.00 36378 0.88
123809 GOODS-N 189.361328 62.338379 2.07 10.35 36408 1.01
123850 GOODS-N 189.392258 62.338893 2.39 10.24 36454 0.99
123538 GOODS-N 189.393175 62.341860 2.23 11.05 36567 0.94
124177 GOODS-N 189.361896 62.339854 0.94 8.83 36572 0.82
123476 GOODS-N 189.375896 62.342342 1.47 10.31 36573 0.64
124893 GOODS-N 189.395335 62.340553 0.97 8.46 36665 0.81
123811 GOODS-N 189.398084 62.341783 1.32 9.83 36666 0.63
124678 GOODS-N 189.356951 62.341316 1.10 9.29 36711 1.16
125098 GOODS-N 189.384642 62.342237 1.58 10.54 36722 1.27
125086 GOODS-N 189.366080 62.342984 2.14 10.92 36751 1.14
125212 GOODS-N 189.389849 62.341587 1.04 8.26 36754 0.78
125446 GOODS-N 189.397134 62.342849 0.54 8.95 36830 1.24
124386 GOODS-N 189.390277 62.344510 2.29 10.54 36854 0.82
125809 GOODS-N 189.347479 62.343882 0.85 8.66 36909 1.09
125934 GOODS-N 189.368467 62.345693 1.93 10.50 36989 1.14
126288 GOODS-N 189.350416 62.344880 1.01 8.96 36991 1.26
125948 GOODS-N 189.362859 62.345730 1.02 9.46 37005 0.94
9382 GOODS-S 53.144008 -27.928778 1.36 9.88 934 0.98
9343 GOODS-S 53.172900 -27.928908 1.49 9.39 971 0.64
10429 GOODS-S 53.160986 -27.929124 1.03 8.55 985 0.74
10469 GOODS-S 53.177941 -27.928704 0.90 8.70 998 0.59
10465 GOODS-S 53.148590 -27.929019 0.85 8.77 1002 0.96
10593 GOODS-S 53.148184 -27.928863 0.55 8.23 1017 0.86
11099 GOODS-S 53.178614 -27.928130 1.41 8.13 1066 0.74
12062 GOODS-S 53.158840 -27.925242 1.22 10.01 1186 1.04
12230 GOODS-S 53.172619 -27.926144 0.21 8.37 1200 1.18
9378 GOODS-S 53.179339 -27.923595 2.29 10.62 1213 0.69
12350 GOODS-S 53.151704 -27.925680 0.82 8.29 1221 0.82
11507 GOODS-S 53.182752 -27.925014 1.06 9.32 1226 0.69
12457 GOODS-S 53.170518 -27.924233 0.80 8.61 1273 0.68
13011 GOODS-S 53.181457 -27.924432 0.48 7.98 1288 0.62
12949 GOODS-S 53.176659 -27.923986 1.47 8.75 1309 0.62
12926 GOODS-S 53.172266 -27.924404 0.44 7.69 1311 0.70
13283 GOODS-S 53.160557 -27.923022 1.87 9.46 1368 0.80
13988 GOODS-S 53.160844 -27.922051 0.42 8.67 1436 1.20
13732 GOODS-S 53.175469 -27.922368 1.17 8.20 1439 0.69
14093 GOODS-S 53.171685 -27.921843 1.13 9.03 1452 0.80
14405 GOODS-S 53.156925 -27.921328 1.55 9.52 1485 1.09
13986 GOODS-S 53.172094 -27.920529 1.78 9.40 1516 0.61
13856 GOODS-S 53.184806 -27.920428 1.06 9.82 1519 0.95
14215 GOODS-S 53.145639 -27.919770 1.58 10.42 1522 0.85
13499 GOODS-S 53.169843 -27.918154 1.64 10.66 1565 1.01
15172 GOODS-S 53.153946 -27.919749 0.77 8.68 1607 1.31
14555 GOODS-S 53.177962 -27.917693 2.27 10.72 1619 0.63
15281 GOODS-S 53.144057 -27.919443 1.02 8.84 1621 0.97
15336 GOODS-S 53.145662 -27.919113 0.84 8.46 1642 0.88
15324 GOODS-S 53.182111 -27.919279 1.42 9.22 1644 1.06
15513 GOODS-S 53.168958 -27.918980 0.80 8.50 1677 0.94
15093 GOODS-S 53.184772 -27.918456 0.91 9.29 1681 1.20
14990 GOODS-S 53.174072 -27.918450 0.97 8.71 1693 1.06
15793 GOODS-S 53.151902 -27.918211 0.71 8.64 1734 1.23
16039 GOODS-S 53.167375 -27.917355 0.74 8.76 1763 1.06
15921 GOODS-S 53.177625 -27.917390 1.48 9.28 1770 0.91
15929 GOODS-S 53.160712 -27.917590 0.67 7.85 1788 0.64
16179 GOODS-S 53.167959 -27.917303 1.13 9.26 1802 1.09
16183 GOODS-S 53.153333 -27.917250 0.58 8.34 1808 1.05
16371 GOODS-S 53.160616 -27.916860 0.98 9.16 1835 1.18
16488 GOODS-S 53.185117 -27.916270 0.78 7.85 1881 0.67
16683 GOODS-S 53.152703 -27.915943 1.16 8.21 1902 0.68
16788 GOODS-S 53.184946 -27.916068 0.65 7.90 1913 0.62
17024 GOODS-S 53.153370 -27.913962 0.97 9.24 1982 0.65
17055 GOODS-S 53.191901 -27.915316 0.92 8.37 1987 0.95
17022 GOODS-S 53.191877 -27.912430 2.30 10.50 1989 0.73
16290 GOODS-S 53.188921 -27.914171 1.84 9.71 1992 0.72
17163 GOODS-S 53.183307 -27.915043 1.04 9.06 1997 0.91
17321 GOODS-S 53.176027 -27.914775 0.42 8.34 2030 0.78
17264 GOODS-S 53.179497 -27.914648 1.23 8.52 2031 0.68
17368 GOODS-S 53.171398 -27.914647 1.20 8.55 2035 0.94
17413 GOODS-S 53.181407 -27.914725 0.64 8.61 2039 1.19
17468 GOODS-S 53.196595 -27.914347 0.86 8.24 2052 0.67
17704 GOODS-S 53.184784 -27.913397 1.60 9.51 2095 0.73
17701 GOODS-S 53.148111 -27.913062 0.90 9.88 2097 1.30
17587 GOODS-S 53.160816 -27.913848 0.69 8.23 2102 0.74
17667 GOODS-S 53.159899 -27.913642 0.79 8.46 2113 1.24
17795 GOODS-S 53.160386 -27.913517 0.92 8.96 2115 1.30
17719 GOODS-S 53.155542 -27.913409 0.65 9.30 2116 1.27
17669 GOODS-S 53.151935 -27.913514 0.65 8.49 2126 1.17
17494 GOODS-S 53.156738 -27.913369 0.53 8.80 2128 1.14
18065 GOODS-S 53.155361 -27.913369 0.81 8.59 2152 1.20
17950 GOODS-S 53.174963 -27.913066 0.35 7.39 2171 1.22
18170 GOODS-S 53.190273 -27.912377 1.21 9.32 2177 1.27
18240 GOODS-S 53.185362 -27.912461 1.71 9.85 2191 1.30
17999 GOODS-S 53.162865 -27.911485 0.84 9.11 2270 1.23
18610 GOODS-S 53.196659 -27.911455 0.57 8.30 2271 0.92
18213 GOODS-S 53.195071 -27.911212 0.63 8.51 2295 0.94
18882 GOODS-S 53.161364 -27.910446 0.85 8.62 2322 0.66
18972 GOODS-S 53.171617 -27.910572 1.61 9.68 2334 0.92
19003 GOODS-S 53.164916 -27.910830 1.08 8.14 2338 0.68
19016 GOODS-S 53.144188 -27.909835 0.86 9.60 2345 1.29
18337 GOODS-S 53.177905 -27.909533 0.42 9.54 2346 1.09
18484 GOODS-S 53.175111 -27.909915 0.77 8.62 2406 0.94
19435 GOODS-S 53.142984 -27.909361 1.14 9.00 2426 0.68
19473 GOODS-S 53.155974 -27.909699 1.36 8.38 2428 0.76
19585 GOODS-S 53.196591 -27.908622 1.14 9.00 2451 0.68
19569 GOODS-S 53.153777 -27.909316 0.92 8.25 2462 0.85
19652 GOODS-S 53.154016 -27.908696 0.95 8.79 2496 0.76
19591 GOODS-S 53.187062 -27.909196 0.96 8.46 2507 0.85
19733 GOODS-S 53.174323 -27.908979 0.87 8.48 2529 0.89
18260 GOODS-S 53.193371 -27.903872 2.20 11.19 2546 0.66
19683 GOODS-S 53.148499 -27.908316 1.07 9.14 2569 1.03
19952 GOODS-S 53.182332 -27.908427 1.13 8.20 2578 0.71
20714 GOODS-S 53.166730 -27.906015 0.88 8.34 2604 0.67
20072 GOODS-S 53.168695 -27.907433 0.75 9.18 2650 1.14
20265 GOODS-S 53.150994 -27.907566 0.81 8.53 2670 1.08
20387 GOODS-S 53.151883 -27.907410 0.80 8.36 2672 1.10
20694 GOODS-S 53.187382 -27.906921 0.60 8.46 2732 1.23
20877 GOODS-S 53.176781 -27.906117 0.69 8.86 2768 1.06
20681 GOODS-S 53.171402 -27.905208 1.01 8.98 2805 0.91
21023 GOODS-S 53.160710 -27.905997 0.83 8.58 2810 1.10
20901 GOODS-S 53.144242 -27.905625 1.24 9.53 2856 1.15
21363 GOODS-S 53.146706 -27.904563 0.83 8.99 2919 0.69
21330 GOODS-S 53.197688 -27.903767 1.17 9.19 2953 0.60
21592 GOODS-S 53.145924 -27.901462 2.31 10.61 2977 0.68
21612 GOODS-S 53.175819 -27.903717 1.16 9.37 2980 0.73
21777 GOODS-S 53.148082 -27.903771 0.96 9.06 2989 0.68
21605 GOODS-S 53.176645 -27.903724 0.55 9.25 3014 1.16
21891 GOODS-S 53.191908 -27.903925 1.82 8.89 3016 0.68
21730 GOODS-S 53.183049 -27.903219 1.06 9.34 3026 0.83
21647 GOODS-S 53.154657 -27.903758 1.01 9.09 3047 0.78
21754 GOODS-S 53.179946 -27.903797 0.75 8.46 3062 0.57
21819 GOODS-S 53.171413 -27.903951 0.77 8.44 3074 1.18
22051 GOODS-S 53.193033 -27.902915 1.99 8.83 3118 0.64
22233 GOODS-S 53.186936 -27.903100 0.57 8.19 3141 0.69
22252 GOODS-S 53.164940 -27.902849 0.73 8.95 3142 1.28
22308 GOODS-S 53.188599 -27.903261 0.86 8.71 3160 1.27
22266 GOODS-S 53.142656 -27.903210 0.76 8.48 3164 0.94
22153 GOODS-S 53.157993 -27.902530 0.52 8.62 3175 0.91
22708 GOODS-S 53.142595 -27.899975 1.73 10.11 3188 0.69
22217 GOODS-S 53.151415 -27.902618 0.97 9.07 3194 1.09
22513 GOODS-S 53.188489 -27.902749 1.15 8.66 3208 1.03
22316 GOODS-S 53.160756 -27.902547 0.71 8.82 3213 1.20
22514 GOODS-S 53.190002 -27.902239 0.84 8.17 3237 0.69
22486 GOODS-S 53.175419 -27.902233 0.82 8.49 3241 0.91
22563 GOODS-S 53.157864 -27.902274 0.70 8.48 3251 0.90
22404 GOODS-S 53.158360 -27.902261 0.40 8.44 3257 1.28
22632 GOODS-S 53.178911 -27.901939 0.73 8.11 3263 0.57
22829 GOODS-S 53.164747 -27.900186 0.81 9.46 3268 0.56
22784 GOODS-S 53.179390 -27.901761 0.89 8.67 3274 0.75
22897 GOODS-S 53.161388 -27.901865 0.87 7.70 3334 0.62
23034 GOODS-S 53.148027 -27.901426 0.86 8.72 3361 1.08
22917 GOODS-S 53.170918 -27.900476 2.09 9.90 3375 0.67
22765 GOODS-S 53.163276 -27.899374 1.83 10.09 3382 0.57
23059 GOODS-S 53.188583 -27.901278 0.98 7.93 3389 0.65
23093 GOODS-S 53.153804 -27.901169 0.92 8.28 3396 1.05
23142 GOODS-S 53.160673 -27.897112 1.97 10.67 3402 0.66
23136 GOODS-S 53.142997 -27.901091 1.07 8.39 3409 0.87
23155 GOODS-S 53.167544 -27.901145 1.25 8.09 3414 0.64
23215 GOODS-S 53.147745 -27.900513 1.59 9.77 3424 1.08
23246 GOODS-S 53.142288 -27.900512 0.84 9.06 3436 1.21
23177 GOODS-S 53.168300 -27.900259 0.94 8.94 3457 1.19
23413 GOODS-S 53.152492 -27.900300 1.66 8.56 3479 0.72
23524 GOODS-S 53.145464 -27.900231 0.70 8.35 3489 0.83
23407 GOODS-S 53.159475 -27.898455 2.08 10.23 3504 0.68
23920 GOODS-S 53.177618 -27.899389 0.64 8.10 3587 0.85
23992 GOODS-S 53.184706 -27.898883 1.77 8.85 3610 0.69
23856 GOODS-S 53.156731 -27.899227 0.90 7.85 3613 0.56
23172 GOODS-S 53.145209 -27.897243 2.42 10.64 3649 0.67
24360 GOODS-S 53.179385 -27.898441 0.99 8.58 3702 1.09
24480 GOODS-S 53.156308 -27.897404 1.00 9.34 3773 0.95
24599 GOODS-S 53.149328 -27.897808 0.78 7.92 3787 0.81
24717 GOODS-S 53.143907 -27.897703 1.06 8.03 3801 0.74
24609 GOODS-S 53.185755 -27.897268 1.42 9.52 3804 1.09
24671 GOODS-S 53.142654 -27.897379 0.91 8.27 3805 0.66
24605 GOODS-S 53.184310 -27.897314 1.79 8.88 3810 0.66
24521 GOODS-S 53.175351 -27.896841 1.23 9.16 3825 0.68
24919 GOODS-S 53.160644 -27.896345 0.86 9.17 3861 1.21
24769 GOODS-S 53.166458 -27.896774 0.88 9.04 3880 1.31
25164 GOODS-S 53.159711 -27.896629 0.93 8.26 3897 0.66
24707 GOODS-S 53.181230 -27.894515 1.80 10.27 3933 0.94
25205 GOODS-S 53.170033 -27.895421 1.19 9.93 3943 0.97
25253 GOODS-S 53.152134 -27.896267 1.28 8.56 3975 0.70
25462 GOODS-S 53.182455 -27.895719 0.72 8.40 3991 1.11
25474 GOODS-S 53.165212 -27.895714 0.72 8.59 4015 0.83
25184 GOODS-S 53.142600 -27.895068 2.03 9.56 4036 0.66
25687 GOODS-S 53.185707 -27.895560 0.30 7.96 4082 1.09
25860 GOODS-S 53.186142 -27.895056 1.11 8.56 4108 0.68
26450 GOODS-S 53.183476 -27.893893 0.84 8.42 4239 0.68
26614 GOODS-S 53.196184 -27.893753 0.73 8.30 4287 0.76
26728 GOODS-S 53.156644 -27.893386 0.75 8.44 4312 1.09
26158 GOODS-S 53.178564 -27.890211 2.18 10.77 4390 0.66
26160 GOODS-S 53.179315 -27.892036 1.16 9.10 4409 0.68
27183 GOODS-S 53.161105 -27.892840 0.87 7.78 4441 0.81
