# PearsID field ra dec U_flux f435w_flux f606w_flux f775w_flux f850lp_flux f125w_flux f140w_flux f160w_flux irac1_flux irac2_flux irac3_flux irac4_flux U_flux_err f435w_flux_err f606w_flux_err f775w_flux_err f850lp_flux_err f125w_flux_err f140w_flux_err f160w_flux_err irac1_flux_err irac2_flux_err irac3_flux_err irac4_flux_err
55923 GOODS-N 189.113842 62.216061 2.196e-18 2.116e-18 1.702e-18 1.621e-18 1.898e-18 1.460e-18 1.480e-18 1.419e-18 5.098e-19 3.003e-19 1.210e-19 7.490e-20 4.834e-20 1.837e-20 7.355e-21 6.771e-21 6.150e-21 2.752e-21 5.050e-21 6.699e-21 2.343e-21 1.134e-21 3.278e-21 1.523e-21
75958 GOODS-N 189.113863 62.249033 3.322e-19 3.513e-19 3.869e-19 3.670e-19 2.896e-19 1.773e-19 1.514e-19 1.316e-19 2.356e-20 1.034e-20 5.054e-21 -9.900e+01 4.641e-20 2.955e-20 1.157e-20 1.066e-20 9.679e-21 3.706e-21 7.867e-21 4.785e-21 4.549e-21 1.651e-21 8.132e-21 3.962e-21
78908 GOODS-N 189.114702 62.253995 1.549e-19 1.418e-19 1.131e-19 1.490e-19 1.391e-19 9.911e-20 8.365e-20 7.169e-20 2.427e-20 1.028e-20 2.931e-21 -9.900e+01 4.582e-20 1.535e-20 6.232e-21 5.737e-21 5.211e-21 1.995e-21 4.480e-21 3.554e-21 3.403e-21 1.212e-21 6.664e-21 3.156e-21
47914 GOODS-N 189.114986 62.199560 1.109e-19 2.902e-19 4.823e-19 5.068e-19 4.676e-19 3.288e-19 2.933e-19 2.577e-19 2.525e-20 2.023e-20 -9.900e+01 -9.900e+01 4.405e-20 1.491e-20 7.119e-21 6.438e-21 5.743e-21 3.389e-21 4.058e-21 5.494e-21 1.585e-21 1.230e-21 2.914e-21 1.491e-21
79970 GOODS-N 189.115024 62.256683 9.277e-19 1.054e-18 1.218e-18 9.455e-19 7.599e-19 4.477e-19 3.633e-19 3.133e-19 3.086e-20 1.291e-20 -9.900e+01 1.455e-21 4.905e-20 2.716e-20 1.003e-20 9.230e-21 8.397e-21 3.210e-21 7.532e-21 5.213e-21 2.300e-21 1.010e-21 5.780e-21 2.916e-21
53804 GOODS-N 189.115846 62.211311 4.024e-19 7.872e-19 3.084e-18 5.215e-18 5.404e-18 4.745e-18 4.524e-18 4.176e-18 7.564e-19 3.468e-19 1.664e-19 4.468e-20 4.965e-20 1.907e-20 7.641e-21 7.034e-21 6.389e-21 3.218e-21 5.193e-21 8.507e-21 2.439e-21 1.223e-21 3.431e-21 1.524e-21
45924 GOODS-N 189.115866 62.196942 8.345e-19 6.922e-19 4.398e-19 3.573e-19 4.231e-19 2.975e-19 2.733e-19 2.476e-19 7.016e-20 4.113e-20 2.103e-20 9.995e-21 4.962e-20 2.008e-20 9.550e-21 8.680e-21 7.590e-21 6.294e-21 5.401e-21 8.217e-21 1.892e-21 1.418e-21 3.077e-21 1.679e-21
52625 GOODS-N 189.115983 62.207594 2.528e-19 1.069e-19 6.692e-20 7.196e-20 6.010e-20 3.074e-20 2.298e-20 2.232e-20 2.804e-21 7.167e-22 2.706e-21 8.048e-21 4.301e-20 1.342e-20 6.234e-21 5.658e-21 5.150e-21 2.819e-21 3.632e-21 4.661e-21 1.827e-21 9.506e-22 3.001e-21 9.733e-21
70857 GOODS-N 189.116152 62.246957 1.742e-19 4.972e-19 1.821e-18 4.182e-18 5.118e-18 5.900e-18 5.835e-18 5.802e-18 1.790e-18 7.325e-19 3.932e-19 1.177e-19 5.466e-20 2.953e-20 1.202e-20 1.140e-20 1.045e-20 3.779e-21 9.581e-21 1.111e-20 3.396e-21 1.307e-21 7.693e-21 3.855e-21
58108 GOODS-N 189.116173 62.217401 3.876e-20 1.227e-19 1.150e-19 1.194e-19 1.077e-19 6.877e-20 6.097e-20 5.200e-20 6.295e-21 2.576e-21 2.241e-21 7.311e-22 4.619e-20 1.785e-20 7.805e-21 6.923e-21 6.049e-21 2.773e-21 4.871e-21 3.644e-21 1.692e-21 8.446e-22 4.596e-17 1.166e-20
55542 GOODS-N 189.116339 62.213908 1.467e-19 1.137e-19 9.037e-20 7.167e-20 6.836e-20 3.342e-20 2.141e-20 1.845e-20 8.073e-21 3.375e-21 1.637e-22 -9.900e+01 5.564e-20 2.142e-20 9.078e-21 8.031e-21 7.303e-21 3.349e-21 5.911e-21 4.164e-21 3.414e-21 1.692e-21 4.769e-21 1.762e-20
76260 GOODS-N 189.116362 62.249100 -9.900e+01 3.112e-20 6.389e-20 8.118e-20 6.248e-20 4.638e-20 4.475e-20 4.185e-20 2.972e-20 2.074e-20 1.528e-20 1.051e-21 4.883e-20 1.447e-20 5.677e-21 5.402e-21 4.869e-21 1.739e-21 3.910e-21 2.379e-21 4.887e-21 1.825e-21 9.343e-21 4.404e-21
76744 GOODS-N 189.116396 62.250431 2.790e-19 3.456e-19 1.992e-19 1.233e-19 8.539e-20 6.881e-20 6.416e-20 6.078e-20 1.111e-20 7.679e-21 5.680e-21 -9.900e+01 4.309e-20 1.597e-20 6.142e-21 5.670e-21 5.136e-21 1.966e-21 4.502e-21 2.815e-21 3.195e-21 1.157e-21 5.840e-21 2.709e-21
57532 GOODS-N 189.116486 62.216499 2.172e-19 2.549e-19 1.251e-19 1.168e-19 1.743e-19 1.096e-19 8.634e-20 8.665e-20 2.071e-20 9.706e-21 1.019e-21 2.589e-21 4.994e-20 1.884e-20 8.663e-21 7.476e-21 6.657e-21 2.898e-21 5.207e-21 5.916e-21 2.205e-21 1.139e-21 3.796e-21 1.498e-20
77197 GOODS-N 189.116593 62.252174 1.644e-18 1.735e-18 2.541e-18 2.620e-18 2.426e-18 1.724e-18 1.537e-18 1.364e-18 2.026e-19 1.051e-19 5.543e-20 3.718e-20 5.017e-20 2.653e-20 1.077e-20 9.915e-21 9.007e-21 3.448e-21 7.994e-21 6.288e-21 3.698e-21 1.340e-21 6.932e-21 3.282e-21
76554 GOODS-N 189.117165 62.251929 8.313e-19 5.043e-19 1.044e-18 1.689e-18 1.673e-18 1.366e-18 1.234e-18 1.091e-18 2.162e-19 8.989e-20 3.709e-20 1.318e-20 5.786e-20 3.633e-20 1.475e-20 1.358e-20 1.234e-20 4.810e-21 1.095e-20 7.096e-21 3.880e-21 1.427e-21 7.228e-21 3.464e-21
71114 GOODS-N 189.117562 62.242468 3.973e-18 3.618e-18 5.457e-18 5.183e-18 4.612e-18 3.502e-18 3.070e-18 2.714e-18 3.247e-19 1.839e-19 6.811e-20 1.334e-19 5.357e-20 2.648e-20 1.096e-20 1.060e-20 9.684e-21 3.360e-21 7.857e-21 6.760e-21 2.424e-21 1.105e-21 8.303e-21 4.216e-21
51337 GOODS-N 189.117680 62.210452 2.884e-18 3.139e-18 3.972e-18 4.354e-18 4.084e-18 3.127e-18 2.840e-18 2.597e-18 4.450e-19 2.281e-19 1.179e-19 5.265e-20 5.200e-20 2.413e-20 1.018e-20 8.931e-21 8.042e-21 3.723e-21 6.536e-21 9.052e-21 2.327e-21 1.181e-21 3.461e-21 1.343e-20
73139 GOODS-N 189.118496 62.243840 5.410e-19 3.968e-19 2.360e-19 2.067e-19 2.296e-19 1.595e-19 1.352e-19 1.094e-19 1.963e-20 1.038e-20 2.438e-21 -9.900e+01 4.910e-20 1.910e-20 7.824e-21 7.523e-21 6.939e-21 2.435e-21 5.786e-21 4.116e-21 2.530e-21 1.111e-21 7.214e-21 3.636e-21
49243 GOODS-N 189.118539 62.205126 4.870e-19 3.557e-19 1.867e-19 1.747e-19 1.735e-19 1.223e-19 1.098e-19 8.090e-20 1.869e-20 7.461e-21 -9.900e+01 -9.900e+01 5.210e-20 2.431e-20 1.151e-20 1.083e-20 9.286e-21 4.624e-21 7.233e-21 6.483e-21 1.805e-21 1.021e-21 3.593e-21 1.610e-21
73181 GOODS-N 189.118652 62.243411 3.493e-19 2.785e-19 1.726e-19 1.065e-19 1.083e-19 1.002e-19 8.114e-20 6.801e-20 1.539e-20 8.645e-21 4.776e-22 5.069e-21 4.694e-20 1.367e-20 5.550e-21 5.306e-21 4.929e-21 1.875e-21 4.089e-21 2.847e-21 2.731e-21 1.225e-21 8.083e-21 4.077e-21
81868 GOODS-N 189.118868 62.259553 9.335e-20 1.554e-19 1.726e-19 1.792e-19 1.440e-19 9.771e-20 7.673e-20 6.810e-20 6.596e-21 3.970e-21 7.899e-21 3.112e-22 4.347e-20 1.557e-20 6.001e-21 5.662e-21 5.195e-21 1.838e-21 4.099e-21 2.469e-21 1.611e-21 1.028e-21 5.319e-21 2.643e-21
71982 GOODS-N 189.118988 62.242178 3.987e-19 2.860e-19 2.881e-19 3.232e-19 2.762e-19 1.811e-19 1.587e-19 1.319e-19 2.326e-20 7.638e-21 -9.900e+01 -9.900e+01 5.163e-20 2.004e-20 8.241e-21 7.828e-21 7.260e-21 2.803e-21 5.858e-21 4.474e-21 2.666e-21 1.224e-21 8.629e-21 4.449e-21
89341 GOODS-N 189.119083 62.272746 1.064e-19 2.839e-20 3.587e-20 7.707e-20 6.455e-20 5.559e-20 3.798e-20 4.834e-20 1.364e-20 5.341e-21 -9.900e+01 -9.900e+01 6.794e-20 2.734e-20 1.134e-20 1.030e-20 9.630e-21 3.444e-21 7.233e-21 5.129e-21 3.568e-21 1.745e-21 7.425e-21 3.417e-21
48914 GOODS-N 189.119185 62.201049 6.642e-19 4.911e-19 2.665e-19 2.048e-19 2.332e-19 1.484e-19 1.311e-19 1.162e-19 2.507e-20 1.323e-20 9.037e-21 -9.900e+01 4.819e-20 1.923e-20 9.279e-21 8.333e-21 7.391e-21 4.219e-21 5.239e-21 6.632e-21 2.146e-21 1.411e-21 3.674e-21 1.713e-21
